 ,Area,X,Y
1,0.011,0.616,0.228
2,0.010,0.300,0.480
3,0.010,0.354,0.182
4,0.011,0.208,1.461
5,0.011,1.436,0.516
6,0.014,0.759,1.291
7,0.013,1.183,1.711
8,0.014,0.644,2.057
9,0.010,0.383,2.361
10,0.014,0.180,2.561
11,0.013,2.650,1.226
12,0.018,2.338,1.317
13,0.017,3.238,2.612
14,0.013,3.652,0.558
15,0.014,3.431,0.651
16,0.016,3.625,2.377
17,0.015,2.743,2.691
18,0.013,2.455,3.011
19,0.016,1.586,0.945
20,0.016,1.003,1.476
21,0.014,0.796,2.927
22,0.012,2.927,0.655
23,0.011,2.939,1.499
24,0.015,1.956,2.235
25,0.014,3.305,2.011
26,0.012,4.039,2.020
27,0.014,4.623,1.907
28,0.013,4.233,1.394
29,0.012,3.350,0.388
30,0.011,2.269,1.038
31,0.012,2.349,1.787
32,0.011,4.609,3.735
33,0.014,5.678,3.753
34,0.014,4.743,4.295
35,0.013,6.151,4.544
36,0.014,5.126,2.307
37,0.010,6.643,2.807
38,0.013,5.764,3.292
39,0.011,6.863,3.645
40,0.010,6.954,3.302
41,0.009,6.965,2.375
42,0.010,4.396,4.073
43,0.013,5.051,3.774
44,0.012,4.262,3.167
45,0.010,4.582,3.244
46,0.014,6.035,3.214
47,0.012,5.248,4.286
48,0.012,6.606,4.260
49,0.010,6.181,3.488
50,0.017,5.711,2.703
51,0.011,5.504,2.389
52,0.008,6.222,3.004
53,0.007,6.266,2.804
54,0.008,5.511,3.009
55,0.009,5.282,3.313
56,0.005,4.883,3.858
57,0.008,7.049,3.091
58,0.009,7.225,2.955
59,0.016,0.947,4.643
60,0.010,0.665,4.075
61,0.010,1.215,3.932
62,0.011,1.376,4.109
63,0.012,1.926,3.976
64,0.010,1.653,3.993
65,0.010,1.195,4.306
66,0.010,3.288,4.469
67,0.015,2.679,4.458
68,0.014,3.392,3.768
69,0.010,3.183,3.169
70,0.011,3.474,3.077
71,0.009,2.411,2.700
72,0.010,1.813,3.753
73,0.012,2.361,4.708
74,0.010,2.625,4.642
75,0.013,2.917,4.494
76,0.010,2.817,4.652
77,0.008,1.219,3.692
78,0.013,1.330,3.122
79,0.010,0.600,3.216
80,0.009,2.261,2.728
81,0.012,1.409,2.769
82,0.009,2.127,3.438
83,0.010,1.605,3.702
84,0.012,2.270,3.759
85,0.012,1.235,4.879
86,0.020,4.357,1.673
87,0.012,4.841,2.129
88,0.010,6.517,1.599
89,0.013,7.168,1.573
90,0.013,6.934,1.029
91,0.014,6.458,0.667
92,0.013,6.202,0.853
93,0.011,5.344,0.849
94,0.013,5.229,0.598
95,0.013,6.639,0.221
96,0.011,6.790,0.556
97,0.014,5.631,0.581
98,0.012,5.047,0.565
99,0.010,4.481,0.555
100,0.010,3.864,0.948
101,0.010,5.323,1.091
102,0.011,5.801,1.636
103,0.010,6.068,1.402
104,0.009,6.478,1.171
105,0.008,5.628,1.804
