 ,Area,StdDev,X,Y,Perim.
1,0.012,126.887,0.578,0.140,0.414
2,0.007,127.097,0.545,0.291,0.298
3,0.006,122.188,0.607,0.477,0.286
4,0.010,124.254,0.844,2.611,0.369
5,0.010,123.014,2.086,0.662,0.363
6,0.008,123.350,1.530,0.445,0.323
7,0.009,126.048,1.147,0.269,0.346
8,0.006,120.704,1.090,1.166,0.291
9,0.011,123.967,0.536,1.292,0.383
10,0.011,127.698,0.230,2.067,0.387
11,0.010,125.497,0.152,2.356,0.371
12,0.004,118.883,0.474,2.141,0.234
13,0.003,118.198,0.409,2.315,0.214
14,0.008,124.340,0.399,2.515,0.318
15,0.005,122.673,0.561,2.905,0.266
16,0.010,127.704,1.107,2.581,0.378
17,0.005,117.700,1.733,0.123,0.259
18,0.008,122.264,1.269,1.212,0.323
19,0.012,126.373,1.162,1.601,0.403
20,0.011,127.416,1.438,1.614,0.389
21,0.008,117.011,1.477,1.839,0.334
22,0.008,127.367,1.737,1.751,0.319
23,0.011,121.166,1.596,2.412,0.379
24,0.012,120.025,2.708,3.200,0.394
25,0.006,118.276,1.325,1.780,0.274
26,0.005,124.127,0.963,1.983,0.258
27,0.006,116.433,3.420,1.053,0.289
28,0.006,119.000,3.262,1.126,0.270
29,0.008,126.941,2.730,1.419,0.343
30,0.011,126.479,2.467,1.499,0.383
31,0.006,115.229,2.464,1.711,0.289
32,0.012,127.360,2.345,1.847,0.406
33,0.012,127.639,3.193,1.375,0.404
34,0.008,120.937,3.322,1.577,0.344
35,0.007,122.404,3.561,1.456,0.316
36,0.011,121.690,4.121,1.805,0.396
37,0.009,125.361,3.916,1.505,0.343
38,0.011,124.607,4.307,1.448,0.391
39,0.011,119.623,3.753,2.332,0.387
40,0.010,127.271,3.618,2.655,0.376
41,0.007,119.294,3.521,3.196,0.311
42,0.012,123.262,4.613,3.209,0.399
43,0.009,119.756,4.787,2.504,0.359
44,0.011,127.238,4.624,1.550,0.383
45,0.011,124.165,4.488,1.284,0.391
46,0.009,124.284,4.265,1.192,0.353
47,0.008,122.255,4.718,0.471,0.344
48,0.006,121.939,4.485,0.439,0.289
49,0.008,121.755,5.003,0.173,0.329
50,0.010,127.644,5.498,0.849,0.368
51,0.012,127.363,5.749,1.247,0.421
52,0.010,119.662,5.623,1.744,0.363
53,0.008,123.642,5.903,2.007,0.327
54,0.005,123.859,5.746,2.166,0.268
55,0.007,123.165,5.612,2.202,0.306
56,0.008,122.392,5.301,2.637,0.338
57,0.015,126.871,4.919,3.257,0.454
58,0.008,116.578,5.021,3.650,0.331
59,0.009,126.532,5.795,3.674,0.351
60,0.006,108.709,3.385,1.299,0.279
61,0.008,127.204,2.927,1.414,0.343
62,0.009,120.091,2.102,2.279,0.357
63,0.014,127.647,2.432,2.911,0.426
64,0.010,125.363,2.489,2.697,0.367
65,0.006,125.040,2.998,2.858,0.283
66,0.009,121.238,3.805,3.334,0.344
67,0.008,120.706,3.936,2.832,0.334
68,0.010,127.406,5.267,3.017,0.379
69,0.009,127.242,4.348,1.707,0.363
70,0.006,117.291,3.532,1.977,0.294
71,0.007,121.908,3.607,0.564,0.311
72,0.009,117.033,3.735,0.267,0.351
73,0.009,123.029,2.881,0.766,0.351
74,0.011,126.366,3.957,1.247,0.404
75,0.009,126.993,3.082,0.809,0.359
76,0.008,124.223,2.816,2.141,0.333
77,0.006,120.204,2.511,2.005,0.278
78,0.009,118.055,2.302,0.792,0.361
79,0.010,127.390,1.469,0.705,0.376
80,0.009,124.133,2.675,0.447,0.354
81,0.008,126.352,2.837,0.246,0.326
82,0.008,120.863,3.008,0.080,0.327
83,0.012,123.297,2.258,0.146,0.411
84,0.009,123.565,4.301,0.625,0.343
85,0.006,117.606,3.958,0.987,0.293
86,0.007,122.891,3.687,0.703,0.314
87,0.012,126.641,3.135,2.060,0.424
88,0.008,127.204,2.817,2.519,0.343
89,0.007,125.478,2.105,3.803,0.311
90,0.007,123.126,3.859,3.064,0.311
91,0.009,125.594,4.044,2.980,0.356
92,0.006,123.421,5.326,3.763,0.294
93,0.007,124.863,4.974,3.849,0.314
94,0.011,124.707,3.232,3.895,0.383
95,0.007,125.313,3.529,3.870,0.309
96,0.007,127.791,3.384,3.753,0.319
97,0.009,123.179,1.354,3.816,0.359
98,0.008,125.874,1.155,3.296,0.336
99,0.006,113.695,2.272,3.069,0.274
100,0.008,120.881,5.456,1.071,0.314
