 ,Area,X,Y
1,3045.865,120.769,208.507
2,2817.068,125.491,326.928
3,4204.152,129.845,514.582
4,5105.042,426.924,95.147
5,2588.271,389.339,451.974
6,2416.673,336.163,701.940
7,2287.974,245.916,896.053
8,2931.467,535.398,950.700
9,3803.757,534.828,584.102
10,1959.078,883.977,279.238
11,3103.065,806.290,456.561
12,3103.065,772.901,640.008
13,4018.254,776.886,896.144
14,3288.963,954.076,1012.590
15,4104.053,1044.653,1200.722
16,3460.561,1357.438,1097.357
17,2917.167,1457.606,1138.143
18,4003.955,1564.709,1145.636
19,3045.865,1678.450,1118.893
20,2144.976,1700.824,873.000
21,3789.457,1240.657,752.271
22,2945.767,1240.630,847.922
23,1572.982,1544.507,664.859
24,2516.771,1355.823,551.284
25,3260.363,1310.360,343.089
26,3446.261,1187.340,382.741
27,2988.666,1354.496,209.186
28,3117.365,1790.286,290.396
29,3589.259,1368.780,65.408
30,4318.551,1754.246,1004.618
31,2874.267,2311.266,315.474
32,3918.155,2062.235,409.839
33,3818.057,2188.554,1115.851
34,3932.455,2491.749,940.132
35,2902.867,3473.487,1020.142
36,3203.164,3244.555,912.341
37,1673.081,3710.844,235.149
38,2345.173,3748.171,797.669
39,2302.274,3619.859,941.303
40,3045.865,3699.748,1142.114
41,2473.872,2954.072,507.914
42,3846.656,3093.088,577.876
43,4061.154,2473.202,415.460
44,2001.977,3059.649,239.370
45,3760.857,2780.224,859.158
46,3860.956,2914.090,966.989
47,4146.953,3482.956,2507.208
48,2602.570,3461.725,2364.817
49,2988.666,2559.152,2333.817
50,4232.752,2442.729,2336.400
51,3918.155,2333.055,2028.588
52,2788.468,2148.510,1924.101
53,2702.669,2486.765,1674.920
54,2130.676,2602.150,1706.795
55,2659.770,2663.140,1554.446
56,3617.859,3427.672,1460.449
57,3660.758,3503.823,1609.477
58,2545.371,3717.397,1747.781
59,2359.473,3776.620,1828.109
60,1687.381,3591.828,1957.638
61,2817.068,3236.735,1991.120
62,3603.559,2921.248,1803.376
63,5190.841,2891.268,1968.715
64,2116.376,2865.007,2119.512
65,2631.170,2821.646,2328.384
66,2030.577,2142.573,1570.792
67,2302.274,109.182,2415.764
68,2573.971,449.748,2316.513
69,2388.073,563.389,2268.579
70,2402.373,435.639,1792.730
71,3060.165,1748.084,2098.952
72,3217.463,1136.714,2376.966
73,2402.373,1082.368,1879.322
74,2774.168,696.636,2262.904
75,3646.459,661.950,1422.642
76,4247.052,307.060,2461.071
77,3002.966,780.072,2513.301
78,2388.073,1363.054,2261.129
79,3060.165,1737.446,1572.508
80,2931.467,1642.606,2062.981
81,3231.763,1716.790,1972.812
82,2044.877,1192.961,1486.915
83,4132.653,869.702,1545.651
84,2001.977,373.640,2030.510
85,3389.062,401.263,1697.604
86,2502.472,2466.983,1752.385
87,3246.063,2236.148,1609.733
88,2688.369,2433.363,1103.297
89,4933.444,2021.810,918.672
90,3560.660,1915.336,1406.776
91,3703.658,1820.273,1444.969
92,3203.164,1483.788,1510.309
93,3374.762,1200.823,1310.887
94,4361.450,1388.850,1319.791
95,3546.360,1154.459,1630.686
96,686.392,1470.457,1710.662
97,2416.673,1492.299,1800.593
98,3832.356,1912.740,2250.748
99,3031.566,1593.069,2513.903
100,2116.376,1828.566,1543.189
