 ,Area,X,Y
1,4378.992,319.833,180.794
2,3885.584,399.464,209.736
3,3330.501,404.450,638.307
4,1911.954,326.930,855.641
5,4193.964,260.317,902.795
6,3577.205,597.806,1182.343
7,2837.093,1043.820,1237.765
8,3207.149,964.156,1378.725
9,3638.881,1428.720,1243.300
10,3700.556,1286.911,1623.429
11,2590.390,1270.007,1548.990
12,2837.093,1442.636,75.632
13,3022.121,2126.269,470.162
14,3885.584,1580.591,221.703
15,3392.177,2063.946,75.892
16,3022.121,1908.778,1514.825
17,3577.205,2364.687,1468.451
18,2282.010,1453.410,1093.852
19,3885.584,5703.503,284.405
20,2590.390,6755.423,1228.497
21,3577.205,7046.263,1598.574
22,3330.501,6751.163,1521.960
23,4317.316,5201.982,767.053
24,3947.260,5302.888,602.871
25,3885.584,6267.951,965.782
26,3515.529,6091.692,1415.748
27,3330.501,5030.250,957.679
28,3453.853,6466.156,64.931
29,3453.853,7719.895,4440.118
30,4378.992,7659.557,3715.710
31,4317.316,7847.345,3722.625
32,6599.326,7628.627,3045.836
33,2467.038,7321.924,3007.264
34,3330.501,7269.924,2949.535
35,4193.964,6788.921,4071.643
36,2652.065,6529.009,4418.818
37,4008.936,6056.001,4247.302
38,3638.881,6202.525,3029.883
39,3268.825,7492.073,3153.734
40,4132.288,7075.506,3064.761
41,6044.242,2320.040,4989.315
42,4132.288,1436.059,4159.784
43,2343.686,1079.016,4494.420
44,2652.065,757.488,3783.057
45,4872.399,589.552,5098.399
46,3885.584,715.096,4985.477
47,3700.556,1307.068,5252.356
48,3022.121,1399.268,5268.752
49,4625.696,2710.733,4955.864
50,3453.853,1290.482,4292.165
