 ,Area,X,Y
1,0.010,0.547,0.145
2,0.012,1.070,0.163
3,0.016,0.357,0.833
4,0.013,1.532,0.755
5,0.011,0.782,1.446
6,0.018,0.810,1.127
7,0.009,0.431,1.277
8,0.013,1.144,1.471
9,0.013,1.016,1.725
10,0.014,1.036,2.011
11,0.014,0.526,1.597
12,0.010,0.150,2.208
13,0.013,0.790,0.659
14,0.012,3.380,0.182
15,0.017,3.657,0.493
16,0.014,4.366,2.858
17,0.014,3.801,2.399
18,0.017,3.448,2.193
19,0.013,2.714,2.008
20,0.013,2.172,2.526
21,0.016,2.427,2.785
22,0.010,3.064,2.634
23,0.010,2.731,2.782
24,0.012,3.161,0.717
25,0.014,4.363,0.260
26,0.009,2.021,1.699
27,0.013,1.568,1.826
28,0.010,1.831,1.949
29,0.013,1.015,2.656
30,0.015,6.393,4.579
31,0.016,4.199,4.839
32,0.016,4.527,4.820
33,0.017,3.578,4.395
34,0.010,4.200,3.585
35,0.011,4.060,3.635
36,0.013,3.558,3.622
37,0.013,3.696,3.372
38,0.010,5.838,3.934
39,0.013,7.414,4.274
40,0.012,6.433,4.044
41,0.013,4.765,3.856
42,0.015,5.636,3.144
43,0.015,5.381,2.542
44,0.013,5.002,3.701
45,0.014,6.782,2.594
46,0.011,6.037,3.032
47,0.013,6.287,3.723
48,0.012,5.637,3.826
49,0.012,6.897,3.187
50,0.014,7.059,4.848
51,0.013,5.631,4.872
52,0.012,3.914,4.304
53,0.012,3.793,5.024
54,0.017,3.128,1.971
55,0.010,3.539,1.952
56,0.009,3.474,2.613
57,0.011,3.538,2.902
58,0.013,5.507,1.411
59,0.015,5.664,0.784
60,0.015,4.820,1.775
61,0.013,5.060,1.620
62,0.010,6.248,2.484
63,0.011,6.513,2.488
64,0.012,6.315,1.551
65,0.013,7.370,0.586
66,0.013,6.852,0.090
67,0.012,7.326,2.596
68,0.010,6.214,2.236
69,0.011,5.194,0.364
70,0.011,4.932,0.231
71,0.012,4.605,1.134
72,0.012,4.092,1.129
73,0.014,4.426,1.832
74,0.012,4.498,2.361
75,0.013,6.254,0.953
76,0.015,1.488,1.380
77,0.013,1.833,1.049
78,0.015,2.710,1.220
79,0.005,2.556,1.090
80,0.008,2.243,1.264
81,0.008,2.048,1.263
82,0.009,3.555,1.351
83,0.010,3.147,0.906
84,0.010,3.656,0.792
85,0.011,1.573,0.267
86,0.012,2.361,2.149
87,0.011,3.047,2.299
88,0.011,3.284,1.549
89,0.009,3.120,1.244
90,0.006,3.299,0.846
91,0.013,2.508,0.853
92,0.013,1.976,0.679
93,0.011,0.216,2.007
94,0.011,0.751,1.822
95,0.010,0.747,2.132
96,0.012,1.122,2.447
97,0.010,1.505,2.337
98,0.014,0.817,0.175
99,0.009,1.938,0.495
100,0.009,2.263,0.734
