level,Nation_fk,Year,Region,Country,All Religions,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated
1,54,2010,Europe,Czech Republic, 100,1.00,23.3,1.00,1.00,1.00,1.00,1.00,76.4
1,55,2010,Europe,Denmark, 100,1.00,83.5,1.00,1.00,1.00, 4.1,1.00,11.8
1,56,2010,Sub-Saharan Africa,Djibouti, 100,1.00, 2.3,1.00,1.00,1.00,96.9,1.00,1.00
1,57,2010,Latin America-Caribbean,Dominica, 100,1.00,94.4, 3.0,1.00,1.00,1.00, 1.7,1.00
1,58,2010,Latin America-Caribbean,Dominican Republic, 100,1.00,88.0,1.00,1.00,1.00,1.00,1.00,10.9
1,59,2010,Latin America-Caribbean,Ecuador, 100,1.00,94.1,1.00,1.00,1.00,1.00,1.00, 5.5
1,60,2010,Middle East-North Africa,Egypt, 100,1.00, 5.1,1.00,1.00,1.00,94.9,1.00,1.00
1,61,2010,Latin America-Caribbean,El Salvador, 100,1.00,88.2,1.00,1.00,1.00,1.00,1.00,11.0
1,62,2010,Sub-Saharan Africa,Equatorial Guinea, 100,1.00,88.7, 1.7,1.00,1.00, 4.0,1.00, 5.0
1,63,2010,Sub-Saharan Africa,Eritrea, 100,1.00,62.9,1.00,1.00,1.00,36.6,1.00,1.00
1,64,2010,Europe,Estonia, 100,1.00,39.9,1.00,1.00,1.00,1.00,1.00,59.6
1,65,2010,Sub-Saharan Africa,Ethiopia, 100,1.00,62.8, 2.6,1.00,1.00,34.6,1.00,1.00
1,66,2010,Europe,Faeroe Islands, 100,1.00,98.0,1.00,1.00,1.00,1.00,1.00, 1.7
1,67,2010,Latin America-Caribbean,Falkland Islands (Malvinas), 100,1.00,67.2,1.00,1.00,1.00,1.00,1.00,31.5
1,68,2010,Asia-Pacific,Fiji, 100,1.00,64.4,1.00,27.9,1.00, 6.3,1.00,1.00
1,69,2010,Europe,Finland, 100,1.00,80.1,1.00,1.00,1.00,1.00,1.00,19.1
1,70,2010,Europe,France, 100,1.00,63.0,1.00,1.00,1.00, 7.5,1.00,28.0
1,71,2010,Latin America-Caribbean,French Guiana, 100,1.00,84.4, 9.1, 1.6,1.00,1.00,1.00, 3.4
1,72,2010,Asia-Pacific,French Polynesia, 100,1.00,94.0,1.00,1.00,1.00,1.00,1.00, 4.9
1,73,2010,Sub-Saharan Africa,Gabon, 100,1.00,76.5, 6.0,1.00,1.00,11.2,1.00, 5.6
1,74,2010,Sub-Saharan Africa,Gambia, 100,1.00, 4.5,1.00,1.00,1.00,95.1,1.00,1.00
1,75,2010,Europe,Georgia, 100,1.00,88.5,1.00,1.00,1.00,10.7,1.00,1.00
1,76,2010,Europe,Germany, 100,1.00,68.7,1.00,1.00,1.00, 5.8,1.00,24.7
1,77,2010,Sub-Saharan Africa,Ghana, 100,1.00,74.9, 4.9,1.00,1.00,15.8,1.00, 4.2
1,78,2010,Europe,Gibraltar, 100,1.00,88.8,1.00, 1.8, 2.1, 4.0,1.00, 2.9
1,79,2010,Europe,Greece, 100,1.00,88.1,1.00,1.00,1.00, 5.3,1.00, 6.1
1,80,2010,North America,Greenland, 100,1.00,96.1,1.00,1.00,1.00,1.00,1.00, 2.5
1,81,2010,Latin America-Caribbean,Grenada, 100,1.00,96.6, 1.3,1.00,1.00,1.00,1.00,1.00
1,82,2010,Latin America-Caribbean,Guadeloupe, 100,1.00,95.9,1.00,1.00,1.00,1.00,1.00, 2.5
1,83,2010,Asia-Pacific,Guam, 100, 1.1,94.2, 1.5,1.00,1.00,1.00, 1.6, 1.7
1,84,2010,Latin America-Caribbean,Guatemala, 100,1.00,95.2,1.00,1.00,1.00,1.00,1.00, 4.1
1,85,2010,Sub-Saharan Africa,Guinea, 100,1.00,10.9, 2.7,1.00,1.00,84.4,1.00, 1.8
1,86,2010,Sub-Saharan Africa,Guinea-Bissau, 100,1.00,19.7,30.9,1.00,1.00,45.1,1.00, 4.3
1,87,2010,Latin America-Caribbean,Guyana, 100,1.00,66.0,1.00,24.9,1.00, 6.4,1.00, 2.0
1,88,2010,Latin America-Caribbean,Haiti, 100,1.00,86.9, 2.2,1.00,1.00,1.00,1.00,10.6
1,89,2010,Europe,Vatican City, 100,1.00,99.0,1.00,1.00,1.00,1.00,1.00,1.00
1,90,2010,Latin America-Caribbean,Honduras, 100,1.00,87.6, 1.1,1.00,1.00,1.00,1.00,10.5
1,91,2010,Asia-Pacific,Hong Kong, 100,13.2,14.3,12.8,1.00,1.00, 1.8, 1.5,56.1
1,92,2010,Europe,Hungary, 100,1.00,81.0,1.00,1.00,1.00,1.00,1.00,18.6
1,93,2010,Europe,Iceland, 100,1.00,95.0,1.00,1.00,1.00,1.00,1.00, 3.5
1,94,2010,Asia-Pacific,India, 100,1.00, 2.5,1.00,79.5,1.00,14.4, 2.3,1.00
1,95,2010,Asia-Pacific,Indonesia, 100,1.00, 9.9,1.00, 1.7,1.00,87.2,1.00,1.00
1,96,2010,Asia-Pacific,Iran, 100,1.00,1.00,1.00,1.00,1.00,99.0,1.00,1.00
1,97,2010,Middle East-North Africa,Iraq, 100,1.00,1.00,1.00,1.00,1.00,99.0,1.00,1.00
