 ,Area,X,Y
1,0.003,0.158,0.280
2,0.004,0.269,0.464
3,0.006,0.486,0.414
4,0.005,0.615,0.586
5,0.004,0.370,0.917
6,0.007,0.267,1.119
7,0.004,0.275,1.342
8,0.006,0.441,1.589
9,0.004,0.932,1.353
10,0.005,1.000,0.796
11,0.005,0.748,0.695
12,0.005,0.665,0.452
13,0.004,0.723,0.286
14,0.005,0.922,0.440
15,0.005,1.024,0.605
16,0.004,1.084,0.928
17,0.006,0.947,1.037
18,0.004,1.047,1.399
19,0.006,1.290,1.470
20,0.005,1.346,1.358
21,0.004,1.444,0.919
22,0.004,1.452,0.760
23,0.004,1.421,0.403
24,0.005,1.515,0.188
25,0.005,2.116,0.825
26,0.005,2.143,1.336
27,0.004,2.020,1.363
28,0.005,2.142,1.524
29,0.004,2.462,0.834
30,0.005,2.391,1.558
31,0.004,2.471,1.646
32,0.005,5.886,1.586
33,0.004,4.397,0.291
34,0.007,4.341,0.448
35,0.003,4.762,0.525
36,0.004,4.587,0.726
37,0.005,4.475,1.047
38,0.004,4.381,1.581
39,0.004,4.796,1.717
40,0.004,5.740,0.321
41,0.005,5.633,0.544
42,0.006,5.592,0.683
43,0.006,6.479,0.828
44,0.003,6.195,0.878
45,0.004,6.081,1.210
46,0.004,5.801,1.197
47,0.005,5.559,1.242
48,0.003,5.214,1.456
49,0.004,5.624,1.792
50,0.005,4.951,1.239
51,0.004,5.143,0.969
52,0.003,5.055,0.701
53,0.003,5.464,0.515
54,0.004,7.124,4.877
55,0.006,7.334,4.521
56,0.007,7.116,4.491
57,0.004,7.115,4.362
58,0.004,7.180,4.125
59,0.006,5.724,3.708
60,0.004,5.380,3.981
61,0.003,5.420,4.309
62,0.003,5.502,4.359
63,0.004,5.274,4.566
64,0.005,5.419,4.918
65,0.005,5.794,4.580
66,0.004,6.034,4.452
67,0.004,6.347,3.957
68,0.004,6.755,3.672
69,0.004,6.667,4.538
70,0.004,6.533,4.864
71,0.006,6.644,4.895
72,0.005,0.188,4.119
73,0.004,0.456,4.596
74,0.004,0.379,4.999
75,0.005,0.274,5.042
76,0.004,1.906,4.981
77,0.005,2.412,4.443
78,0.006,2.223,4.234
79,0.005,2.195,4.129
80,0.004,1.915,4.659
81,0.005,1.874,4.769
82,0.006,1.446,4.643
83,0.005,1.522,4.207
84,0.005,1.562,4.465
85,0.003,1.233,4.436
86,0.003,0.901,4.302
87,0.005,0.706,4.160
88,0.004,1.042,3.923
89,0.003,1.124,3.668
90,0.004,1.812,3.837
91,0.006,2.397,3.673
92,0.004,1.714,4.140
93,0.006,3.916,2.212
94,0.004,4.116,2.261
95,0.005,4.453,2.468
96,0.005,4.616,2.161
97,0.005,4.434,1.799
98,0.003,4.023,1.760
99,0.005,3.695,1.909
100,0.005,3.656,1.787
