 ,Area,StdDev,X,Y,Perim.
1,0.003,119.840,0.486,0.206,0.196
2,0.003,104.931,0.978,0.086,0.213
3,0.002,125.707,0.538,0.153,0.185
4,0.003,119.840,0.486,0.206,0.196
5,0.006,127.070,0.364,0.661,0.279
6,0.003,117.746,0.341,0.901,0.193
7,0.005,123.060,0.105,1.195,0.267
8,0.004,118.225,0.160,1.101,0.232
9,0.004,122.846,3.508,0.155,0.245
10,0.003,120.581,3.789,0.195,0.185
11,0.002,115.527,1.448,1.337,0.163
12,0.002,107.462,1.178,2.375,0.176
13,0.003,122.705,1.251,2.329,0.209
14,0.005,123.079,0.575,2.482,0.269
15,0.002,119.341,0.432,2.657,0.149
16,0.002,101.755,3.283,0.212,0.152
17,0.003,116.015,3.084,0.178,0.214
18,0.003,120.538,2.553,0.907,0.200
19,0.003,122.282,2.280,1.579,0.196
20,0.004,124.311,1.819,1.802,0.288
21,0.004,127.236,1.583,1.666,0.238
22,0.005,127.143,1.866,2.082,0.256
23,0.003,118.505,3.155,2.389,0.202
24,0.003,110.971,3.363,2.441,0.190
25,0.004,120.738,3.918,2.482,0.252
26,0.002,124.372,3.739,2.677,0.177
27,0.003,124.579,3.775,2.576,0.193
28,0.003,115.792,3.203,0.880,0.198
29,0.003,115.455,2.228,1.101,0.218
30,0.003,123.592,1.995,1.173,0.211
31,0.003,98.124,1.423,1.222,0.215
32,0.003,118.880,1.210,1.626,0.187
33,0.004,117.901,0.808,1.587,0.231
34,0.004,123.173,0.648,1.577,0.221
35,0.003,123.466,1.336,2.016,0.215
36,0.002,117.473,1.793,2.271,0.178
37,0.003,124.627,1.722,2.189,0.210
38,0.003,114.940,2.535,1.726,0.198
39,0.003,111.981,2.851,0.639,0.196
40,0.006,122.249,1.973,0.622,0.281
41,0.004,123.701,1.801,0.532,0.232
42,0.002,124.091,1.684,0.496,0.175
43,0.002,114.923,1.658,0.552,0.164
44,0.002,111.315,1.630,0.612,0.158
45,0.002,113.780,1.427,0.777,0.141
46,0.003,122.291,1.324,0.993,0.214
47,0.003,124.358,1.470,1.623,0.212
48,0.002,121.109,1.078,2.031,0.169
49,0.002,122.500,0.965,2.000,0.187
50,0.002,125.205,1.529,2.173,0.156
51,0.004,127.033,1.401,2.332,0.237
52,0.004,124.795,2.439,1.098,0.240
53,0.005,120.920,2.301,1.032,0.276
54,0.004,116.867,2.082,0.239,0.223
55,0.004,121.680,2.583,0.775,0.223
56,0.003,118.238,3.173,0.116,0.193
57,0.003,120.205,2.191,2.539,0.202
58,0.004,127.002,2.411,2.634,0.253
59,0.004,116.639,2.251,2.655,0.229
60,0.003,126.079,1.313,1.171,0.213
61,0.004,115.217,1.003,1.346,0.256
62,0.004,116.600,1.083,1.284,0.234
63,0.004,123.918,1.101,0.219,0.247
64,0.003,123.346,0.942,0.384,0.215
65,0.004,116.234,0.787,0.761,0.226
66,0.003,126.561,0.896,0.644,0.210
67,0.001,31.388,0.164,2.329,0.260
68,0.003,120.640,0.800,2.374,0.213
69,0.003,125.092,1.193,2.177,0.204
70,0.001,0.000,1.681,2.280,0.317
71,0.003,119.501,1.483,2.087,0.195
72,0.007,127.560,1.941,2.260,0.302
73,0.002,116.707,2.142,2.156,0.175
74,0.004,120.738,1.961,1.422,0.249
75,0.004,126.640,2.051,1.341,0.250
76,0.004,115.500,2.269,1.853,0.233
77,0.003,111.316,1.687,1.299,0.223
78,0.004,126.339,1.328,1.672,0.250
79,0.003,98.410,1.661,1.561,0.199
80,0.005,122.258,1.754,0.818,0.261
81,0.003,111.560,1.848,0.691,0.191
82,0.004,125.606,1.644,0.709,0.247
83,0.003,126.292,1.460,1.749,0.202
84,0.002,107.891,1.651,1.866,0.179
85,0.002,124.680,1.947,1.854,0.183
86,0.005,125.729,2.316,1.270,0.260
87,0.002,122.226,1.345,0.786,0.177
88,0.003,100.479,2.527,0.611,0.202
89,0.003,119.035,2.424,2.301,0.210
90,0.004,123.082,2.337,2.364,0.226
91,0.003,125.879,2.666,2.397,0.216
92,0.004,124.918,2.649,2.541,0.233
93,0.003,122.158,2.558,2.549,0.211
94,0.003,117.739,2.882,2.462,0.207
95,0.002,118.497,2.918,1.431,0.182
96,0.003,114.807,3.292,1.781,0.190
97,0.002,114.472,3.209,1.644,0.171
98,0.003,116.869,3.475,1.601,0.196
99,0.002,123.996,3.855,1.271,0.187
100,0.004,124.917,3.915,1.887,0.222
101,0.002,123.470,3.283,2.199,0.176
102,0.002,121.089,2.379,0.361,0.172
103,0.002,121.181,3.026,0.320,0.189
104,0.004,121.465,1.188,1.949,0.238
105,0.003,124.196,1.853,0.867,0.214
106,0.002,125.182,1.512,0.732,0.160
