 ,Area,X,Y
1,3120.554,181.346,605.965
2,3015.130,46.416,481.997
3,3478.997,285.458,269.429
4,3078.385,659.713,348.790
5,3204.894,494.769,580.503
6,3542.251,493.074,498.841
7,3352.488,593.775,921.180
8,5524.225,915.245,601.091
9,4575.408,1269.364,661.698
10,3921.778,1357.599,264.375
11,3837.439,1550.800,297.232
12,2635.603,1675.556,268.952
13,3521.166,1749.938,174.311
14,4680.832,1603.580,1110.518
15,5271.207,814.663,1194.553
16,3795.269,1137.012,1233.134
17,5207.952,529.723,1239.708
18,4469.983,2005.435,1211.158
19,4048.287,1508.629,590.097
20,4807.341,1130.797,559.135
21,4174.796,410.040,990.117
22,3985.032,1980.934,398.019
23,5355.546,4285.923,1404.772
24,4090.457,4062.389,996.851
25,3668.760,4363.497,644.333
26,2972.961,4160.011,904.963
27,3837.439,3922.375,906.204
28,4617.577,4108.160,396.647
29,4765.171,4252.291,340.892
30,4723.001,4397.387,283.873
31,4385.644,4057.426,86.163
32,4491.068,3526.034,730.197
33,4596.492,3634.069,839.693
34,3521.166,3302.496,1161.772
35,3141.639,2861.306,1214.598
36,4659.747,2650.697,711.057
37,4512.153,2939.152,366.616
38,4111.541,2947.702,253.056
39,4364.559,2957.743,1197.656
40,4469.983,3368.773,707.834
41,4385.644,3129.349,239.525
42,4132.626,3837.311,732.068
43,5313.377,2756.314,2930.639
44,3837.439,3048.717,2888.761
45,4385.644,3069.832,2684.825
46,4027.202,3213.398,2637.497
47,4849.510,3330.448,2210.723
48,4870.595,3134.415,1904.324
49,5271.207,3437.438,1902.061
50,4301.305,4127.035,1989.024
51,4364.559,4317.300,2188.314
52,4638.662,4286.173,2460.465
53,4427.814,4121.116,2683.570
54,5123.613,3612.753,2854.913
55,4723.001,3566.923,2272.562
56,3057.300,2915.411,2830.225
57,4153.711,428.030,2963.508
58,4786.256,591.222,2775.170
59,3900.693,527.576,2642.891
60,4343.474,740.197,2583.680
61,3921.778,382.133,2552.806
62,4174.796,1667.156,2593.220
63,5271.207,1144.686,1929.465
64,3963.948,1911.175,2246.256
65,3584.421,1965.543,1891.371
66,4195.881,1445.051,1893.411
67,4322.390,353.693,1874.930
68,3584.421,483.465,1731.603
69,4322.390,477.941,2081.585
70,5271.207,857.367,2134.885
71,4048.287,1015.175,1708.947
72,3985.032,923.260,2595.047
73,3900.693,2022.871,1690.225
74,4533.238,1271.518,1173.702
75,3753.099,1655.945,1168.077
76,3436.827,1650.366,1423.282
77,4111.541,2125.484,1037.222
78,2994.045,2022.148,982.165
79,4280.220,2325.780,1468.987
80,3500.081,2465.642,1188.756
81,4828.425,2693.825,1662.189
82,3120.554,2349.772,1843.430
83,2783.197,2262.898,1966.726
84,3521.166,1853.955,1141.205
85,3394.657,2610.308,1009.901
86,3415.742,1876.780,1952.573
87,3141.639,2297.344,2045.657
88,3478.997,2764.374,1479.972
89,3753.099,2366.078,1122.391
90,3478.997,2792.315,1001.866
