T,FW,dFW
50,1.1508479950761492,0.010048534774389295
60,1.1014866918939852,0.0093378685583224
70,1.1320321978418773,0.009519659244934696
80,1.1251611019964598,0.009671793347663181
90,1.1276358379149904,0.009225937396378493
100,1.1614300597262432,0.010112181978100859
110,1.282220016841102,0.011442114306990991
120,1.3773323658989536,0.013238494599558266
130,1.4666504905418474,0.014071347975992349
140,1.535848545179805,0.014690032827163652
150,1.638741895142666,0.017159041473973596
160,1.6710530639664851,0.017349070996962986
170,1.7050784867633058,0.018615219246713118
180,1.7935738183972896,0.01853164762774516
190,1.8402617285712155,0.02011865933732227
200,1.8925238937634818,0.02039155496623918
210,1.9967590621065427,0.02184066788205082
220,1.9579125141021456,0.021601466584747202
230,1.9589575700087343,0.022754803022172868
240,2.0574539867825976,0.023619937753498223
250,2.0549496403321297,0.02468099592751114
260,2.070316523384998,0.022903496897095654
270,2.095526229071642,0.02423205078776815
280,2.15230899553874,0.02455809746243251
290,2.147902807791373,0.02456896618342876
300,2.198098848894822,0.026414738916123733
