 ,Area
790,24
791,346
792,196
793,422
794,598
795,663
796,24
797,555
798,744
799,134
800,562
801,448
802,304
803,99
804,131
805,49
806,337
807,36
808,251
809,285
810,388
811,27
812,32
813,351
814,109
815,1123
816,265
817,117
818,78
819,532
820,1109
821,707
822,99
823,108
824,454
825,217
826,337
827,163
828,1422
829,57
830,298
831,113
832,1715
833,759
834,37
835,314
836,629
837,482
838,76
839,193
840,328
841,594
842,456
843,60
844,150
845,119
846,68
847,784
848,394
849,27
850,483
851,817
852,772
853,792
854,164
855,122
856,231
857,759
858,167
859,83
860,51
861,460
862,104
863,1893
864,276
865,55
866,121
867,179
868,137
869,22
870,22
871,509
872,748
873,89
874,48
875,38
876,338
877,173
878,1172
879,1390
880,638
881,510
882,460
883,237
884,383
885,151
886,512
887,132
888,33
889,1030
890,102
891,718
892,312
893,44
894,102
895,35
896,485
897,46
898,103
899,552
900,206
901,587
902,244
903,429
904,34
905,296
906,569
907,1489
908,148
909,75
910,154
911,338
912,539
913,186
914,551
915,668
916,646
917,143
918,374
919,537
920,118
921,24
922,626
923,92
924,216
925,843
926,23
927,249
928,304
929,719
930,422
931,35
932,25
933,294
934,632
935,101
936,832
937,643
938,66
939,178
940,216
941,322
942,68
943,55
944,52
945,496
946,191
947,316
948,89
949,40
950,1429
951,49
952,245
953,82
954,339
955,23
956,439
957,308
958,349
959,51
960,41
961,627
962,472
963,1688
964,456
965,446
966,550
967,302
968,136
969,1065
970,54
971,347
972,47
973,60
974,666
975,31
976,34
977,22
978,66
979,672
980,178
981,822
982,384
983,290
984,365
985,762
986,675
987,788
988,431
989,128
990,672
991,382
992,867
993,698
994,43
995,900
996,1830
997,55
998,412
999,66
1000,84
1001,28
1002,322
1003,39
1004,110
1005,635
1006,32
1007,191
1008,22
1009,97
1010,23
1011,22
1012,700
1013,702
1014,138
1015,54
1016,719
1017,790
1018,46
1019,601
1020,26
1021,1532
1022,637
1023,113
1024,3142
1025,316
1026,934
1027,83
1028,293
1029,836
1030,237
1031,29
1032,209
1033,897
1034,474
1035,178
1036,24
1037,731
1038,397
1039,1422
1040,46
1041,94
1042,499
1043,429
1044,717
1045,2969
1046,24
1047,600
1048,29
1049,26
1050,985
1051,271
1052,34
1053,62
1054,1807
1055,93
1056,303
1057,628
1058,23
1059,76
1060,130
1061,47
1062,35
1063,72
1064,84
1065,471
1066,59
1067,542
1068,375
1069,81
1070,113
1071,98
1072,2835
1073,72
1074,965
1075,1187
1076,1144
1077,711
1078,62
1079,409
1080,92
1081,791
1082,117
1083,278
1084,38
1085,1837
1086,47
1087,547
1088,844
1089,1535
1090,110
1091,214
1092,63
1093,20
1094,51
1095,215
1096,578
1097,114
1098,427
1099,56
1100,169
1101,62
1102,1212
1103,99
1104,466
1105,463
1106,658
1107,56
1108,102
1109,86
1110,797
1111,21
1112,952
1113,1116
1114,1046
1115,920
1116,1549
1117,610
1118,617
1119,271
1120,22
1121,46
1122,155
1123,28
1124,156
1125,544
1126,31
1127,928
1128,28
1129,33
1130,529
1131,23
1132,921
1133,78
1134,1166
1135,49
1136,292
1137,227
1138,1081
1139,1085
1140,60
1141,192
1142,184
1143,1223
1144,65
1145,329
1146,154
1147,256
1148,719
1149,146
1150,45
1151,130
1152,76
1153,25
1154,24
1155,21
1156,50
1157,260
1158,132
1159,826
1160,1551
1161,112
1162,120
1163,36
1164,354
1165,264
1166,706
1167,29
1168,21
1169,37
1170,206
1171,390
1172,35
1173,99
1174,700
1175,162
1176,37
1177,948
1178,1452
1179,55
1180,633
1181,76
1182,617
1183,25
1184,316
1185,31
1186,351
1187,465
1188,90
1189,73
1190,1239
1191,477
1192,95
1193,261
1194,46
1195,685
1196,571
1197,26
1198,372
1199,79
1200,576
1201,159
1202,706
1203,82
1204,34
1205,733
1206,562
1207,1705
1208,20
1209,33
1210,1756
1211,36
1212,24
1213,30
1214,1092
1215,55
1216,460
1217,77
1218,88
1219,288
1220,21
1221,619
1222,239
1223,158
1224,20
1225,746
1226,111
1227,31
1228,598
1229,45
1230,156
1231,533
1232,306
1233,78
1234,592
1235,104
1236,42
1237,1205
1238,685
1239,332
1240,476
1241,578
1242,82
1243,519
1244,160
1245,446
1246,680
1247,54
1248,1908
1249,558
1250,145
1251,132
1252,247
1253,103
1254,20
1255,20
1256,148
1257,321
1258,68
1259,49
1260,95
1261,25
1262,299
1263,176
1264,805
1265,1275
1266,730
1267,346
1268,113
1269,573
1270,206
1271,796
1272,172
1273,40
1274,1470
1275,94
1276,459
1277,110
1278,1727
1279,88
1280,147
1281,836
1282,1217
1283,23
1284,230
1285,33
1286,252
1287,234
1288,60
1289,40
1290,285
1291,20
1292,414
1293,118
1294,96
1295,139
1296,228
1297,318
1298,27
1299,571
1300,22
1301,441
1302,793
1303,386
1304,604
1305,785
1306,494
1307,625
1308,235
1309,231
1310,221
1311,25
1312,97
1313,119
1314,538
1315,357
1316,718
1317,750
1318,445
1319,253
1320,54
1321,1443
1322,923
1323,133
1324,97
1325,309
1326,1182
1327,274
1328,165
1329,47
1330,189
1331,352
1332,95
1333,343
1334,21
1335,1448
1336,181
1337,870
1338,617
1339,1156
1340,21
1341,385
1342,549
1343,103
1344,943
1345,642
1346,275
1347,25
1348,46
1349,40
1350,1026
1351,343
1352,1268
1353,34
1354,220
1355,741
1356,657
1357,210
1358,274
1359,376
1360,702
1361,408
1362,420
1363,45
1364,809
1365,495
1366,925
1367,673
1368,658
1369,71
1370,138
1371,44
1372,88
1373,405
1374,856
1375,1120
1376,341
1377,671
1378,819
1379,29
1380,363
1381,228
1382,635
1383,979
1384,1076
1385,837
1386,551
1387,137
1388,45
1389,234
1390,693
1391,28
1392,27
1393,771
1394,1044
1395,1204
1396,72
1397,592
1398,939
1399,93
1400,46
1401,41
1402,109
1403,442
1404,93
1405,788
1406,81
1407,450
1408,177
1409,70
1410,181
1411,293
1412,28
1413,44
1414,38
1415,45
1416,27
1417,54
1418,44
1419,228
1420,556
1421,745
1422,148
1423,39
1424,117
1425,250
1426,296
1427,33
1428,304
1429,561
1430,88
1431,57
1432,558
1433,260
1434,2025
1435,363
1436,844
1437,955
1438,187
1439,50
1440,41
1441,161
1442,704
1443,61
1444,515
1445,615
1446,445
1447,97
1448,1889
1449,52
1450,434
1451,37
1452,421
1453,73
1454,689
1455,44
1456,349
1457,509
1458,66
1459,503
1460,133
1461,953
1462,393
1463,30
1464,888
1465,69
1466,39
1467,70
1468,107
1469,520
1470,209
1471,1066
1472,978
1473,392
1474,430
1475,58
1476,462
1477,55
1478,33
1479,371
1480,101
1481,435
1482,62
1483,700
1484,336
1485,540
1486,1059
1487,33
1488,351
1489,60
1490,536
1491,218
1492,533
1493,419
1494,316
1495,848
1496,54
1497,70
1498,663
1499,306
1500,343
1501,200
1502,645
1503,502
1504,623
1505,2077
1506,741
1507,252
1508,138
1509,98
1510,124
1511,104
1512,71
1513,203
1514,34
1515,552
1516,69
1517,750
1518,78
1519,470
1520,551
1521,830
1522,22
1523,570
1524,110
1525,66
1526,371
1527,681
1528,656
1529,586
1530,52
1531,708
1532,523
1533,517
1534,101
1535,135
1536,217
1537,304
1538,409
1539,68
1540,119
1541,603
1542,207
1543,183
1544,314
1545,282
1546,376
1547,54
1548,165
1549,293
1550,25
1551,164
1552,34
1553,427
1554,69
1555,530
1556,1103
1557,300
1558,511
1559,99
1560,695
1561,37
1562,443
1563,763
1564,436
1565,674
1566,90
1567,37
1568,133
1569,36
1570,95
1571,596
1572,171
1573,32
1574,163
1575,177
1576,338
1577,167
1578,35
1579,96
1580,119
1581,666
1582,496
1583,185
1584,79
1585,717
1586,2427
1587,618
1588,169
1589,1036
1590,122
1591,396
1592,98
1593,524
1594,947
1595,522
1596,170
1597,439
1598,599
1599,553
1600,49
1601,1018
1602,64
1603,1108
1604,276
1605,115
1606,295
1607,434
1608,30
1609,514
1610,940
1611,32
1612,1713
1613,645
1614,44
1615,60
1616,67
1617,69
1618,743
1619,1340
1620,460
1621,40
1622,1258
1623,532
1624,24
1625,500
1626,93
1627,33
1628,1532
1629,301
1630,496
1631,47
1632,182
1633,316
1634,29
1635,159
1636,27
1637,66
1638,406
1639,117
1640,393
1641,399
1642,106
1643,298
1644,47
1645,441
1646,70
1647,99
1648,257
1649,585
1650,28
1651,520
1652,25
1653,111
1654,20
1655,577
1656,86
1657,28
1658,382
1659,61
1660,861
1661,307
1662,34
1663,25
1664,56
1665,526
1666,284
1667,1781
1668,340
1669,519
1670,618
1671,260
1672,401
1673,87
1674,335
1675,659
1676,937
1677,98
1678,39
1679,598
1680,737
1681,359
1682,128
1683,1311
1684,87
1685,249
1686,414
1687,26
1688,117
1689,1056
1690,209
1691,487
1692,1311
1693,143
1694,618
1695,450
1696,1109
1697,553
1698,55
1699,420
1700,509
1701,75
1702,116
1703,401
1704,245
1705,237
1706,56
1707,27
1708,1778
1709,451
1710,463
1711,808
1712,1171
1713,29
1714,654
1715,23
1716,440
1717,72
1718,187
1719,96
1720,1336
1721,86
1722,171
1723,289
1724,1276
1725,412
1726,20
1727,380
1728,124
1729,20
1730,650
1731,605
1732,353
1733,80
1734,550
1735,52
1736,41
1737,337
1738,49
1739,175
1740,660
1741,231
1742,106
1743,20
1744,299
1745,199
1746,237
1747,61
1748,184
1749,271
1750,153
1751,26
1752,36
1753,57
1754,90
1755,752
1756,671
1757,313
1758,930
1759,912
1760,114
1761,558
1762,178
1763,233
1764,1783
1765,511
1766,184
1767,78
1768,1277
1769,373
1770,496
1771,526
1772,678
1773,138
1774,278
1775,605
1776,815
1777,82
1778,169
1779,456
1780,260
1781,22
1782,97
1783,143
1784,101
1785,566
1786,54
1787,423
1788,283
1789,168
1790,521
1791,874
1792,489
1793,87
1794,133
1795,1053
1796,556
1797,33
1798,52
1799,41
1800,495
1801,98
1802,556
1803,524
1804,242
1805,36
1806,210
1807,183
1808,103
1809,110
1810,298
1811,38
1812,76
1813,396
1814,265
1815,187
1816,382
1817,487
1818,36
1819,43
1820,589
1821,585
1822,125
1823,980
1824,531
1825,354
1826,788
1827,114
1828,150
1829,264
1830,249
1831,296
1832,123
1833,102
1834,179
1835,121
1836,24
1837,559
1838,144
1839,21
1840,34
1841,38
1842,1133
1843,35
1844,324
1845,266
1846,37
1847,575
1848,95
1849,670
1850,475
1851,255
1852,65
1853,548
1854,493
1855,550
