 ,Area
1,741
2,488
3,1922
4,1224
5,748
6,1633
7,572
8,1808
9,1785
10,1087
11,302
12,546
13,428
14,35
15,730
16,180
17,103
18,1610
19,396
20,320
21,1732
22,1724
23,1707
24,2132
25,82
26,32
27,1078
28,932
29,1911
30,29
31,1992
32,26
33,765
34,2348
35,96
36,333
37,1938
38,302
39,80
40,329
41,297
42,32
43,126
44,1112
45,1338
46,165
47,1754
48,685
49,100
50,2075
51,1428
52,104
53,2313
54,46
55,90
56,1624
57,281
58,756
59,227
60,2160
61,1776
62,568
63,1242
64,418
65,2574
66,110
67,52
68,1125
69,290
70,2116
71,35
72,663
73,102
74,939
75,1109
76,21
77,151
78,3649
79,90
80,27
81,889
82,1527
83,169
84,100
85,111
86,130
87,1754
88,63
89,46
90,509
91,1486
92,3812
93,533
94,142
95,1506
96,989
97,1895
98,264
99,313
100,23
101,1158
102,1075
103,416
104,2245
105,460
106,2555
107,169
108,471
109,249
110,1300
111,74
112,307
113,1181
114,1769
115,108
116,155
117,205
118,1092
119,32
120,872
121,949
122,142
123,129
124,136
125,2246
126,402
127,28
128,2695
129,304
130,2139
131,593
132,249
133,2491
134,177
135,816
136,1689
137,477
138,217
139,1407
140,188
141,418
142,1117
143,2690
144,2300
145,2377
146,23
147,200
148,80
149,20
150,797
151,441
152,1193
153,633
154,372
155,1110
156,253
157,1671
158,531
159,411
160,1065
161,372
162,776
163,1356
164,1479
165,2401
166,94
167,320
168,2069
169,1795
170,671
171,119
172,1477
173,97
174,580
175,77
176,1561
177,1170
178,377
179,195
180,1130
181,229
182,1852
183,2236
184,939
185,927
186,1796
187,240
188,22
189,1766
190,307
191,272
192,120
193,1339
194,128
195,360
196,46
197,208
198,256
199,95
200,708
201,611
202,37
203,1305
204,2699
205,2232
206,509
207,34
208,1396
209,1056
210,2850
211,32
212,459
213,83
214,116
215,71
216,27
217,422
218,2165
219,614
220,177
221,1437
222,22
223,1534
224,777
225,468
226,2517
227,2645
228,205
229,1760
230,1834
231,68
232,1660
233,1165
234,464
235,1435
236,311
237,221
238,997
239,395
240,1580
241,2536
242,760
243,47
244,306
245,119
246,150
247,44
248,710
249,74
250,211
251,72
252,163
253,1289
254,190
255,103
256,617
257,102
258,1700
259,33
260,40
261,1954
262,2109
263,3049
264,68
265,1155
266,1880
267,1237
268,80
269,126
270,441
271,2111
272,2013
273,2681
274,1768
275,697
276,1232
277,556
278,650
279,142
280,78
281,1036
282,1389
283,700
284,1440
285,1816
286,584
287,1496
288,2174
289,133
290,2197
291,2409
292,790
293,62
294,128
295,1884
296,810
297,1176
298,300
299,125
300,496
301,36
302,22
303,747
304,1221
305,1562
306,26
307,24
308,227
309,1097
310,45
311,105
312,2058
313,101
314,58
315,150
316,1368
317,60
318,1915
319,1618
320,1553
321,2644
322,587
323,2088
324,89
325,208
326,2392
327,187
328,25
329,547
330,2295
331,22
332,331
333,1755
334,1676
335,1671
336,336
337,809
338,2165
339,1569
340,595
341,2918
342,74
343,1914
344,195
345,45
346,432
347,281
348,644
349,29
350,1082
351,1751
352,110
353,941
354,1996
355,294
356,1644
357,353
358,1609
359,1357
360,20
361,3383
362,2035
363,306
364,759
365,249
366,1587
367,3213
368,668
369,1040
370,255
371,122
372,413
373,739
374,179
375,2472
376,1412
377,397
378,1430
379,2294
380,45
381,266
382,149
383,68
384,195
385,1392
386,234
387,1509
388,1035
389,1887
390,3084
391,119
392,2556
393,264
394,337
395,573
396,287
397,93
398,76
399,269
400,780
401,44
402,995
403,2784
404,1405
405,781
406,2643
407,2137
408,1046
409,160
410,408
411,2174
412,621
413,361
414,1200
415,1321
416,603
417,1434
418,1931
419,1783
420,1424
421,50
422,218
423,25
424,112
425,112
426,569
427,143
428,134
429,473
430,318
431,139
432,3024
433,441
434,191
435,453
436,2418
437,370
438,82
439,592
440,3403
441,280
442,1692
443,340
444,633
445,33
446,581
447,1689
448,66
449,562
450,2287
451,2368
452,267
453,223
454,1176
455,1466
456,720
457,2077
458,514
459,1452
460,66
461,2085
462,1875
463,2242
464,293
465,1346
466,473
467,167
468,67
