 ,Area
1,119
2,309
3,22
4,931
5,71
6,810
7,75
8,501
9,1220
10,644
11,35
12,72
13,565
14,467
15,186
16,703
17,80
18,954
19,1008
20,184
21,654
22,1039
23,52
24,255
25,1286
26,465
27,975
28,822
29,35
30,1088
31,1163
32,86
33,38
34,1442
35,621
36,1332
37,1233
38,654
39,562
40,366
41,218
42,144
43,27
44,261
45,96
46,307
47,24
48,536
49,179
50,592
51,603
52,2142
53,29
54,1109
55,926
56,78
57,76
58,296
59,303
60,48
61,589
62,295
63,815
64,394
65,1162
66,1115
67,557
68,836
69,91
70,359
71,907
72,780
73,321
74,50
75,407
76,197
77,533
78,803
79,910
80,81
81,89
82,612
83,39
84,801
85,1233
86,1131
87,446
88,649
89,845
90,836
91,269
92,837
93,893
94,353
95,55
96,189
97,1039
98,103
99,803
100,965
101,25
102,132
103,1352
104,25
105,144
106,845
107,91
108,32
109,486
110,146
111,852
112,640
113,118
114,29
115,468
116,727
117,736
118,684
119,159
120,944
121,432
122,876
123,53
124,359
125,437
126,77
127,532
128,1082
129,919
130,99
131,39
132,1120
133,81
134,933
135,1021
136,1024
137,208
138,1351
139,160
140,410
141,466
142,592
143,1084
144,877
145,1521
146,577
147,712
148,53
149,33
150,226
151,508
152,427
153,412
154,87
155,1043
156,50
157,387
158,41
159,894
160,1741
161,111
162,475
163,1820
164,1621
165,115
166,507
167,86
168,587
169,354
170,646
171,991
172,788
173,198
174,1074
175,1071
176,96
177,716
178,369
179,45
180,391
181,175
182,800
183,1366
184,702
185,455
186,49
187,111
188,1077
189,89
190,1193
191,200
192,167
193,755
194,371
195,99
196,203
197,579
198,203
199,1135
200,148
201,506
202,418
203,852
204,688
205,47
206,1021
207,698
208,21
209,793
210,629
211,1341
212,906
213,1087
214,69
215,178
216,679
217,30
218,351
219,528
220,36
221,341
222,41
223,991
224,118
225,172
226,181
227,38
228,103
229,996
230,409
231,386
232,1222
233,165
234,821
235,675
236,685
237,91
238,111
239,634
240,189
241,618
242,795
243,54
244,1118
245,232
246,670
247,823
248,85
249,845
250,1611
251,649
252,861
253,366
254,646
255,224
256,789
257,670
258,855
259,670
260,394
261,726
262,1022
263,1005
264,67
265,87
266,588
267,108
268,132
269,53
270,404
271,978
272,122
273,83
274,483
275,873
276,249
277,422
278,808
279,868
280,262
281,791
282,834
283,123
284,102
285,168
286,1153
287,1010
288,362
289,24
290,1156
291,1635
292,166
293,78
294,272
295,714
296,584
297,1062
298,631
299,149
300,654
301,469
302,157
303,630
304,216
305,331
306,1720
307,1202
308,448
309,1909
310,1173
311,1651
312,161
313,155
314,766
315,180
316,599
317,971
318,66
319,275
320,24
321,62
322,301
323,115
324,77
325,798
326,1148
327,647
328,209
329,808
330,782
331,981
332,340
333,339
334,88
335,100
336,561
337,467
338,1289
339,699
340,940
341,213
342,124
343,57
344,82
345,28
346,51
347,387
348,433
349,1379
350,235
351,147
352,135
353,317
354,25
355,613
356,100
357,275
358,161
359,71
360,841
361,672
362,968
363,109
364,973
365,846
366,182
367,51
368,896
369,1142
370,364
371,25
372,64
373,448
374,604
375,559
376,278
377,142
378,34
379,1064
380,513
381,1787
382,980
383,648
384,1429
385,603
386,826
387,741
388,24
389,1216
390,1155
391,444
392,648
393,203
394,381
395,100
396,892
397,69
398,966
399,1357
400,602
401,53
402,119
403,451
404,439
405,324
406,1062
407,54
408,773
409,1477
410,894
411,81
412,141
413,462
414,150
415,681
416,627
417,396
418,287
419,993
420,160
421,599
422,59
423,512
424,288
425,91
426,287
427,541
428,45
429,138
430,1043
431,239
432,280
433,129
434,433
435,366
436,436
437,415
438,53
439,23
440,970
441,616
442,1397
443,396
444,28
445,174
446,936
447,961
448,664
449,77
450,943
451,536
452,576
453,781
454,1512
455,971
456,155
457,75
458,816
459,665
460,41
461,163
462,795
463,638
464,726
465,490
466,77
467,1528
468,39
469,152
470,140
471,801
472,281
473,20
474,862
475,494
476,1144
477,835
478,1035
479,695
480,93
481,746
482,80
483,619
484,112
485,346
486,1185
487,85
488,59
489,192
490,1068
491,885
492,538
