 ,Area
1,2130
2,867
3,1917
4,20
5,2804
6,675
7,974
8,1404
9,27
10,70
11,929
12,97
13,2503
14,1458
15,3092
16,2921
17,716
18,1121
19,27
20,1514
21,42
22,1688
23,279
24,1376
25,704
26,77
27,190
28,1130
29,920
30,761
31,559
32,2045
33,598
34,112
35,1124
36,1392
37,41
38,1042
39,1160
40,669
41,435
42,173
43,1639
44,184
45,143
46,1017
47,304
48,1016
49,403
50,376
51,1015
52,656
53,1863
54,285
55,969
56,285
57,236
58,690
59,119
60,2274
61,1606
62,1069
63,872
64,790
65,523
66,71
67,361
68,1100
69,800
70,1160
71,793
72,431
73,1253
74,651
75,1557
76,1010
77,1052
78,1973
79,910
80,188
81,35
82,427
83,1400
84,159
85,2253
86,608
87,42
88,277
89,218
90,512
91,334
92,1536
93,1446
94,1297
95,46
96,284
97,202
98,735
99,887
100,1264
101,123
102,41
103,592
104,975
105,424
106,1420
107,1887
108,272
109,806
110,554
111,157
112,2219
113,1165
114,950
115,391
116,1355
117,1141
118,56
119,1265
120,612
121,244
122,49
123,518
124,798
125,1360
126,499
127,237
128,678
129,372
130,456
131,1345
132,433
133,1294
134,609
135,249
136,328
137,472
138,636
139,646
140,885
141,791
142,730
143,664
144,835
145,724
146,195
147,67
148,324
149,436
150,293
151,684
152,403
153,780
154,82
155,888
156,62
157,788
158,715
159,692
160,465
161,844
162,315
163,172
164,233
165,572
166,510
167,461
168,481
169,479
170,709
171,188
172,561
173,2899
174,1232
175,2580
176,922
177,1847
178,1252
179,1581
180,562
181,1241
182,1922
183,27
184,1129
185,349
186,69
187,701
188,700
189,1127
190,31
191,116
192,1329
193,825
194,955
195,1492
196,607
197,768
198,28
199,1670
200,1577
201,785
202,908
203,1092
204,174
205,961
206,193
207,775
208,219
209,30
210,142
211,130
212,24
213,826
214,574
215,191
216,406
217,360
218,343
219,247
220,88
221,80
222,24
223,38
224,271
225,479
226,1162
227,309
228,1500
229,800
230,1924
231,2530
232,1145
233,1813
234,948
235,453
236,33
237,1268
238,888
239,54
240,718
241,977
242,2194
243,568
244,855
245,744
246,197
247,1490
248,455
249,1465
250,324
251,1113
252,1318
253,708
254,276
255,1226
256,99
257,78
258,376
259,816
260,995
261,2396
262,408
263,519
264,347
265,493
266,1238
267,1154
268,560
269,393
270,890
271,1132
272,24
273,20
274,198
275,813
276,306
277,1310
278,997
279,169
280,627
281,1214
282,583
283,661
284,764
285,991
286,109
287,117
288,1035
289,1691
290,1721
291,276
292,1633
293,153
294,652
295,137
296,412
297,559
298,592
299,708
300,900
301,882
302,1005
303,399
304,726
305,500
306,929
307,432
308,1141
309,112
310,539
311,290
312,781
313,283
314,689
315,527
316,941
317,784
318,714
319,49
320,901
321,177
322,23
323,281
324,351
325,1206
326,252
327,239
328,270
329,80
330,105
331,88
332,584
333,368
334,507
335,226
336,339
337,1122
338,513
339,374
340,469
341,360
342,865
343,153
344,377
345,345
346,665
347,440
348,219
349,222
350,396
351,389
352,422
353,33
354,173
355,518
356,53
357,24
358,541
359,730
360,167
361,83
362,789
363,29
364,20
365,67
366,584
367,1034
368,155
369,115
370,282
371,1080
372,870
373,670
374,635
375,201
376,870
377,552
378,394
379,596
380,781
381,865
382,582
383,416
384,309
385,770
386,1087
387,482
388,674
389,396
390,914
391,511
392,107
393,511
394,235
395,263
396,780
397,517
398,688
399,651
400,339
401,333
402,238
403,36
404,525
405,938
406,597
407,909
408,663
409,241
410,1299
411,165
412,332
413,412
414,529
415,373
416,762
417,1569
418,615
419,1737
420,1152
421,592
422,1133
423,755
424,901
425,21
426,88
427,460
428,1209
429,410
430,725
431,444
432,433
433,807
434,530
435,461
436,423
437,682
438,414
439,1448
440,1211
441,999
442,711
443,711
444,726
445,838
446,335
447,995
448,523
449,439
450,1151
451,1202
452,359
453,321
454,535
455,620
456,602
457,661
458,171
459,781
460,610
461,649
462,315
463,770
464,213
465,985
466,306
467,284
468,182
469,633
470,712
471,285
472,162
473,1815
474,514
475,529
476,1691
477,546
478,727
479,568
480,892
481,625
482,565
483,39
484,337
485,73
486,816
487,736
488,170
489,631
490,1080
491,584
492,1043
493,151
494,423
495,754
496,1040
497,351
498,1270
499,275
500,99
501,429
502,1027
503,504
504,728
505,804
506,420
507,883
508,771
509,2070
510,1878
511,47
512,408
513,558
514,1113
515,677
516,2219
517,325
518,98
519,785
520,428
521,659
522,507
523,1013
524,1224
525,731
526,1747
527,1244
528,625
529,22
530,90
531,817
532,64
533,768
534,290
535,521
536,710
537,192
538,643
539,411
540,1592
541,594
542,759
543,1427
544,357
545,113
546,915
547,87
548,2124
549,710
550,130
551,89
552,634
553,402
554,513
555,175
556,1312
557,102
558,46
559,558
560,494
561,876
562,915
563,108
564,265
565,819
566,319
567,785
568,361
569,694
570,532
571,594
572,1407
573,302
574,55
575,409
576,861
577,712
578,1162
579,758
580,1010
581,1299
582,44
583,363
584,493
585,829
586,600
587,1788
588,1893
589,1256
590,571
591,441
592,505
593,739
594,904
595,785
596,511
597,202
598,531
599,493
600,2142
601,891
602,28
603,30
604,880
605,1465
606,310
607,1099
608,2599
609,1620
610,297
611,2382
612,507
613,366
614,2064
615,1484
616,1292
617,1619
618,236
619,730
620,2066
621,1128
622,1042
623,105
624,22
625,22
626,1544
627,1562
628,479
629,189
630,645
631,317
632,936
633,187
634,1160
635,242
636,948
637,50
638,40
639,100
640,1537
641,1003
642,603
643,651
644,1171
645,93
646,2663
647,129
648,923
649,273
650,500
651,1712
652,325
653,984
654,995
655,1403
656,579
657,1081
658,919
659,1286
660,1245
661,1176
662,310
663,420
664,1330
665,800
666,449
667,1027
668,531
669,1796
670,779
671,294
672,536
673,1081
674,797
675,660
676,852
677,961
678,1590
679,468
680,1286
681,735
682,1083
683,2051
684,1231
685,403
686,2916
687,476
688,356
689,854
690,507
691,1091
692,49
693,219
694,24
695,1683
696,30
697,1409
698,313
699,2761
700,918
701,1102
702,495
703,1503
704,1690
705,2289
706,446
707,3762
708,724
709,37
710,347
711,1330
712,638
713,736
714,1996
715,1234
716,378
717,197
718,46
719,250
720,1293
721,1712
722,446
723,2684
724,680
725,795
726,796
727,430
728,757
729,207
730,20
731,1162
732,762
733,548
734,1118
735,1903
736,2208
737,576
738,375
739,1543
740,1529
741,2209
742,110
743,20
744,698
745,27
746,837
747,1094
748,1222
749,886
750,2264
751,1081
752,233
753,21
754,735
755,1465
756,2777
757,954
758,2183
759,1177
760,20
761,145
762,1737
763,770
764,582
765,1254
766,1096
767,1220
768,521
769,252
770,1652
771,591
772,317
773,2721
774,1138
775,293
776,628
777,1191
778,1428
779,285
780,751
781,46
782,744
783,1409
784,3865
785,98
786,1431
787,2809
788,2022
789,65
790,226
791,632
792,543
793,1489
794,225
795,2133
796,510
797,1386
798,2613
799,560
800,23
801,1058
802,1375
803,20
804,2968
805,372
806,1183
807,1288
808,2373
809,223
810,1227
811,1543
812,188
813,25
814,71
815,96
816,29
817,21
818,24
819,72
820,1953
821,24
822,20
823,41
824,50
825,22
826,21
827,21
828,989
829,21
830,28
831,26
832,60
833,22
