 ,Area
1,407
2,173
3,1556
4,20
5,1005
6,3286
7,437
8,687
9,345
10,4803
11,1425
12,97
13,6714
14,4541
15,310
16,1074
17,2837
18,4425
19,24
20,574
21,2499
22,586
23,1296
24,35
25,1689
26,4735
27,601
28,526
29,3091
30,674
31,33
32,2153
33,3546
34,188
35,72
36,1050
37,215
38,2999
39,26
40,746
41,3160
42,2919
43,1122
44,62
45,303
46,2227
47,2744
48,3605
49,164
50,75
51,34
52,31
53,5475
54,1245
55,880
56,72
57,1058
58,2345
59,185
60,3159
61,282
62,3855
63,3237
64,125
65,3449
66,81
67,2295
68,91
69,4026
70,30
71,5620
72,3581
73,34
74,4867
75,387
76,1363
77,269
78,22
79,4033
80,2305
81,366
82,1811
83,4304
84,23
85,208
86,35
87,5741
88,464
89,525
90,1763
91,2698
92,996
93,579
94,1033
95,4101
96,114
97,383
98,1736
99,1664
100,31
101,3712
102,68
103,5218
104,3716
105,3911
106,33
107,2160
108,2901
109,635
110,3890
111,27
112,585
113,3231
114,1916
115,242
116,571
117,1109
118,3134
119,3607
120,45
121,3347
122,2834
123,74
124,4734
125,398
126,1267
127,2545
128,260
129,52
130,2196
131,836
132,2199
133,1514
134,21
135,743
136,49
137,39
138,334
139,4671
140,3849
141,1940
142,1905
143,5200
144,48
145,2634
146,32
147,2917
148,2304
149,3527
150,4133
151,1095
152,78
153,57
154,959
155,2353
156,284
157,2591
158,2193
159,2031
160,2046
161,300
162,243
163,3917
164,1478
165,2996
166,4231
167,86
168,1260
169,359
170,28
171,3263
172,1290
173,34
174,933
175,1166
176,3444
177,270
178,4695
179,60
180,2587
181,3544
182,25
183,188
184,466
185,4707
186,1765
187,834
188,3400
189,3128
190,4113
191,4264
192,81
193,791
194,2458
195,3083
196,2075
197,87
198,96
199,86
200,1601
201,5054
202,39
203,1876
204,3541
205,757
206,123
207,1566
208,3151
209,2360
210,3353
211,193
212,4192
213,468
214,63
215,2119
216,86
217,4174
218,1459
219,891
220,987
221,3283
222,35
223,2180
224,30
225,3192
226,641
227,3778
228,179
229,550
230,3026
231,1144
232,2241
233,1956
234,5690
235,3289
236,2010
237,662
238,199
239,363
240,1964
241,287
242,2332
243,673
244,2990
245,4010
246,1571
247,68
248,1406
249,282
250,35
251,2910
252,3199
253,3724
254,84
255,4080
256,3739
257,3325
258,563
259,24
260,1287
261,3055
262,2595
263,117
264,183
265,227
266,4918
267,711
268,363
269,2689
270,487
271,3488
272,285
273,23
274,400
275,1067
276,215
277,285
