 ,Area
1,65
2,636
3,308
4,488
5,37
6,490
7,423
8,293
9,424
10,257
11,451
12,646
13,234
14,132
15,943
16,254
17,302
18,22
19,602
20,359
21,328
22,61
23,902
24,493
25,574
26,116
27,179
28,149
29,1350
30,35
31,471
32,162
33,395
34,227
35,49
36,92
37,390
38,183
39,532
40,416
41,295
42,369
43,38
44,877
45,504
46,591
47,170
48,236
49,29
50,276
51,477
52,193
53,62
54,414
55,252
56,256
57,521
58,60
59,279
60,125
61,482
62,20
63,136
64,372
65,814
66,111
67,109
68,36
69,322
70,21
71,462
72,197
73,444
74,249
75,29
76,54
77,451
78,311
79,412
80,492
81,1352
82,289
83,154
84,125
85,64
86,269
87,197
88,672
89,333
90,529
91,218
92,110
93,583
94,166
95,130
96,257
97,210
98,96
99,443
100,396
101,188
102,295
103,117
104,592
105,146
106,573
107,293
108,294
109,348
110,673
111,149
112,93
113,388
114,151
115,364
116,116
117,152
118,119
119,743
120,302
121,84
122,286
123,1202
124,263
125,504
126,324
127,166
128,32
129,146
130,76
131,61
132,430
133,139
134,50
135,800
136,180
137,182
138,481
139,500
140,187
141,364
142,130
143,301
144,296
145,635
146,39
147,456
148,117
149,315
150,306
151,45
152,268
153,280
154,89
155,24
156,379
157,533
158,282
159,53
160,26
161,168
162,214
163,136
164,421
165,28
166,30
167,59
168,225
169,205
170,267
171,292
172,154
173,60
174,42
175,83
176,167
177,367
178,198
179,90
180,200
181,196
182,188
183,251
184,196
185,225
186,46
187,366
188,503
189,182
190,216
191,125
192,188
193,98
194,326
195,41
196,346
197,53
198,364
199,790
200,292
201,178
202,212
203,704
204,135
205,663
206,38
207,58
208,351
209,916
210,24
211,140
212,119
213,289
214,41
215,149
216,396
217,270
218,311
219,547
220,77
221,156
222,153
223,257
224,456
225,308
226,414
227,137
228,41
229,374
230,408
231,88
232,318
233,102
234,131
235,105
236,498
237,53
238,537
239,333
240,374
241,334
242,754
243,190
244,60
245,613
246,86
247,24
248,39
249,138
250,68
251,156
252,28
253,386
254,82
255,378
256,1413
257,803
258,306
259,141
260,351
261,183
262,274
263,42
264,64
265,224
266,105
267,96
268,481
269,65
270,129
271,41
272,238
273,163
274,509
275,95
276,489
277,86
278,268
279,39
280,279
281,26
282,392
283,320
284,101
285,529
286,490
287,234
288,302
289,68
290,154
291,206
292,111
293,315
294,20
295,287
296,385
297,451
298,61
299,364
300,263
301,258
302,223
303,164
304,253
305,56
306,729
307,134
308,124
309,74
310,157
311,48
312,511
313,293
314,291
315,104
316,63
317,434
318,42
319,381
320,365
321,104
322,244
323,398
324,30
325,99
326,156
327,56
328,20
329,247
330,929
331,584
332,296
333,270
334,54
335,267
336,119
337,106
338,57
339,221
340,264
341,87
342,431
343,82
344,332
345,791
346,566
347,168
348,40
349,500
350,76
351,297
352,79
353,121
354,731
355,35
356,123
357,221
358,987
359,310
360,506
361,114
362,184
363,307
364,693
365,241
366,460
367,1298
368,267
369,103
370,280
371,387
372,1134
373,116
374,1290
375,403
376,633
377,279
378,907
379,659
380,823
381,263
382,91
383,40
384,86
385,235
386,181
387,137
388,305
389,247
390,830
391,524
392,491
393,187
394,385
395,22
396,58
397,33
398,447
399,625
400,306
401,1090
402,219
403,285
404,672
405,232
406,115
407,1493
408,457
409,205
410,311
411,301
412,509
413,115
414,78
415,138
416,219
417,216
418,105
419,385
420,339
421,1844
422,347
423,780
424,707
425,233
426,66
427,380
428,1009
429,116
430,754
431,783
432,617
433,485
434,420
435,604
436,947
437,55
438,327
439,666
440,738
441,259
442,241
443,95
444,524
445,667
446,53
447,200
448,203
449,100
450,464
451,556
452,664
453,467
454,485
455,762
456,206
457,67
458,69
459,280
460,380
461,256
462,149
463,690
464,1670
465,88
466,524
467,540
468,176
469,126
470,47
471,609
472,1051
473,47
474,123
475,507
476,219
477,86
478,350
479,210
480,146
481,533
482,283
483,474
484,691
485,687
486,1109
487,654
488,734
489,65
490,1517
491,49
492,495
493,362
494,49
495,675
496,1736
497,406
498,402
499,321
500,117
501,587
502,494
503,301
504,369
505,414
506,1056
507,577
508,873
509,145
510,473
511,393
512,509
513,784
514,606
515,272
516,20
517,508
518,504
519,496
520,224
521,34
522,992
523,463
524,52
525,1675
526,153
527,734
528,20
529,321
530,1017
531,25
532,223
533,246
534,74
535,56
536,233
537,172
538,130
539,1201
540,36
541,483
542,48
543,1177
544,997
545,79
546,44
547,115
548,477
549,305
550,41
551,70
552,260
553,25
554,584
555,395
556,112
557,1341
558,266
559,41
560,634
561,215
562,86
563,179
564,376
565,1486
566,876
567,100
568,255
569,30
570,279
571,383
572,608
573,330
574,360
575,72
576,271
577,189
578,204
579,296
580,233
581,295
582,328
583,163
584,224
585,416
586,30
587,192
588,69
589,268
590,450
591,278
592,385
593,26
594,413
595,459
596,42
597,160
598,182
599,179
600,606
601,260
602,431
603,554
604,158
605,415
606,535
607,62
608,28
609,122
610,169
611,210
612,264
613,75
614,633
615,803
616,602
617,75
618,354
619,485
620,310
621,241
622,437
623,347
624,185
625,425
626,467
627,43
628,327
629,343
630,288
631,431
632,288
633,155
634,1038
635,401
636,252
637,26
638,618
639,1192
640,35
641,410
642,350
643,306
644,482
645,92
646,131
647,180
648,45
649,61
650,42
651,640
652,477
653,163
654,342
655,494
656,133
657,241
658,301
659,927
660,278
661,50
662,614
663,547
664,441
665,201
666,224
667,282
668,294
669,227
670,53
671,193
672,32
673,569
674,296
675,553
676,288
677,186
678,316
679,278
680,253
681,137
682,272
683,341
684,287
685,155
686,352
687,67
688,31
689,507
690,283
691,128
692,302
693,295
694,134
695,23
696,286
697,96
698,338
699,259
700,50
701,221
702,229
703,360
704,200
705,73
706,97
707,339
708,859
709,310
710,107
711,297
712,175
713,321
714,182
715,35
716,263
717,305
718,325
719,63
720,595
721,231
722,129
723,130
724,599
725,149
726,64
727,327
728,67
729,225
730,39
731,295
732,183
733,267
734,391
735,307
736,501
737,180
738,287
739,293
740,84
741,110
742,451
743,115
744,24
745,150
746,155
747,31
748,366
749,704
750,356
751,527
752,28
753,715
754,145
755,118
756,816
757,94
758,686
759,1608
760,807
761,59
762,24
763,84
764,30
765,297
766,893
767,35
768,155
769,249
770,328
771,546
772,2119
773,779
774,690
775,205
776,271
777,840
778,1362
779,397
780,63
781,178
782,148
783,62
784,500
785,962
786,596
787,621
788,388
789,79
790,1529
791,754
792,685
793,24
794,1038
795,177
796,85
797,45
798,480
799,67
800,323
801,321
802,492
803,64
804,211
805,160
806,216
807,21
808,408
809,104
810,931
811,1057
812,265
813,77
814,721
815,124
816,1057
817,127
818,783
819,366
820,256
821,87
822,201
823,86
824,387
825,439
826,1709
827,248
828,249
829,955
830,602
831,527
832,547
833,40
834,31
835,176
836,179
837,427
838,1545
839,40
840,252
841,1185
842,513
843,213
844,1688
845,527
846,2148
847,1199
848,110
849,208
850,28
851,1275
852,386
853,86
854,494
855,22
856,28
857,1354
858,72
859,658
860,386
861,1123
862,306
863,441
864,1091
865,101
866,136
867,534
868,48
869,149
870,177
871,98
872,74
873,409
874,485
875,1609
876,245
877,639
878,48
879,525
880,751
881,269
882,40
883,1217
884,125
885,20
886,33
887,1934
888,355
889,719
890,414
891,1307
892,63
893,20
894,43
895,150
896,1068
897,655
898,206
899,157
900,847
901,122
902,121
903,321
904,858
905,1039
906,704
907,21
908,20
909,2005
910,92
911,933
912,581
913,77
914,289
915,1106
916,324
917,719
918,563
919,1773
920,29
921,33
922,70
923,212
924,1379
925,1581
926,344
927,775
928,46
929,1182
930,912
931,27
932,248
933,383
934,56
935,52
936,121
937,177
938,376
939,1271
940,2754
941,969
942,600
943,553
944,79
945,179
946,392
947,1238
948,1036
949,1171
950,38
951,209
952,217
953,495
954,85
955,348
956,279
957,146
958,620
959,426
960,664
961,118
962,886
963,298
964,348
965,486
966,670
967,1343
968,482
969,228
970,924
971,41
972,1092
973,452
974,45
975,340
976,1300
977,68
978,428
979,260
980,1548
981,398
982,285
983,110
984,63
985,918
986,750
987,553
988,641
989,950
990,57
991,331
992,570
993,660
994,103
995,29
996,23
997,144
998,26
999,25
1000,88
1001,139
1002,157
1003,742
1004,53
1005,194
1006,240
1007,646
1008,868
1009,553
1010,86
1011,1062
1012,463
1013,520
1014,545
1015,432
1016,365
1017,236
1018,85
1019,624
1020,694
1021,601
1022,497
1023,194
1024,131
1025,30
1026,23
1027,308
1028,325
1029,186
1030,106
1031,261
1032,72
1033,304
1034,54
1035,156
1036,277
1037,64
1038,157
1039,24
1040,441
1041,191
1042,558
1043,313
1044,44
1045,64
1046,178
1047,99
1048,111
1049,708
1050,425
1051,191
1052,862
1053,27
1054,52
1055,84
1056,265
1057,192
1058,99
1059,215
1060,79
1061,444
1062,571
1063,87
1064,179
1065,422
1066,312
1067,287
1068,990
1069,190
1070,201
1071,286
1072,22
1073,564
1074,536
1075,365
1076,291
1077,180
1078,522
1079,481
1080,30
1081,29
1082,294
1083,209
1084,168
1085,215
1086,33
1087,457
1088,314
1089,198
1090,198
1091,239
1092,226
1093,504
1094,550
1095,187
1096,319
1097,212
1098,153
1099,100
1100,317
1101,46
1102,96
1103,136
1104,181
1105,148
1106,54
1107,231
1108,303
1109,111
1110,130
1111,25
1112,70
1113,581
1114,316
1115,300
1116,121
1117,150
1118,326
1119,124
1120,243
1121,529
1122,87
1123,22
1124,385
1125,409
1126,220
1127,47
1128,308
1129,149
1130,83
1131,134
1132,119
1133,546
1134,257
1135,465
1136,840
1137,81
1138,100
1139,37
1140,1128
1141,261
1142,103
1143,334
1144,188
1145,130
1146,130
1147,238
1148,433
1149,74
1150,185
1151,489
1152,99
1153,213
1154,178
1155,75
1156,319
1157,306
1158,999
1159,162
1160,306
1161,29
1162,508
1163,284
1164,316
1165,573
1166,714
1167,678
1168,381
1169,218
1170,383
1171,129
1172,980
1173,213
1174,680
1175,470
1176,350
1177,299
1178,424
1179,1073
1180,358
1181,36
1182,33
1183,235
1184,111
1185,75
1186,113
1187,118
1188,182
1189,309
1190,491
1191,299
1192,79
1193,394
1194,494
1195,88
1196,48
1197,429
1198,309
1199,27
1200,294
1201,27
1202,501
1203,341
1204,355
1205,333
1206,511
1207,348
1208,47
1209,50
1210,967
1211,277
1212,400
1213,712
1214,396
1215,575
1216,345
1217,1528
1218,42
1219,430
1220,261
1221,28
1222,906
1223,221
1224,310
1225,146
1226,48
1227,281
1228,264
1229,109
1230,262
1231,183
1232,62
1233,39
1234,168
1235,30
1236,239
1237,228
1238,62
1239,115
1240,181
1241,92
1242,54
1243,437
1244,102
1245,84
1246,211
1247,295
1248,215
1249,313
1250,722
1251,635
1252,387
1253,437
1254,171
1255,131
1256,239
1257,301
1258,143
1259,172
1260,350
1261,1369
1262,27
1263,510
1264,109
1265,342
1266,486
1267,1544
1268,375
1269,191
1270,125
1271,399
1272,138
1273,689
1274,264
1275,157
1276,289
1277,800
1278,234
1279,37
1280,382
1281,710
1282,23
1283,184
1284,410
1285,26
1286,185
1287,364
1288,175
1289,92
1290,369
1291,278
1292,168
1293,45
1294,460
1295,267
1296,320
1297,313
1298,20
1299,470
1300,56
1301,147
1302,322
1303,233
1304,63
1305,170
1306,363
1307,113
1308,334
1309,331
1310,1119
1311,197
1312,228
1313,149
1314,313
1315,436
1316,295
1317,51
1318,186
1319,873
1320,525
1321,67
1322,123
1323,41
1324,135
1325,228
1326,471
1327,130
1328,842
1329,357
1330,31
1331,33
1332,227
1333,323
1334,144
1335,84
1336,224
1337,54
1338,62
1339,1093
1340,46
1341,483
1342,37
1343,200
1344,351
1345,1182
1346,20
1347,354
1348,122
1349,91
1350,100
1351,248
1352,674
1353,367
1354,35
1355,25
1356,745
1357,269
1358,629
1359,35
1360,90
1361,481
1362,653
1363,828
1364,205
1365,542
1366,354
1367,165
1368,126
1369,263
1370,281
