thickness,temperature,time,img,Area,diameter
2,600,15,1,5834.48838731012,86.18991436369647
2,600,15,1,582.2175629181941,27.2268695363014
2,600,15,1,634.9865263246769,28.433957791531483
2,600,15,1,3034.215395872763,62.15531376535282
2,600,15,1,4615.525332620366,76.65943760046225
2,600,15,1,1116.9430587705535,37.71121943989772
2,600,15,1,865.4109998663185,33.194510200914145
2,600,15,1,86.1893068972553,10.475668660037915
2,600,15,1,4416.762237122613,74.9906416827957
2,600,15,1,5551.294950361995,84.07216100047336
2,600,15,1,226.90654264787622,16.997246337522196
2,600,15,1,872.4468616538496,33.329174081242535
2,600,15,1,277.9165406074763,18.81101617769318
2,600,15,1,1475.7720099346368,43.34756373848561
2,600,15,1,3748.355367307164,69.0836759399482
2,600,15,1,144.23516664438642,13.551602042308463
2,600,15,1,163.5837865600968,14.431955720754955
2,600,15,1,240.97826622293832,17.516365432839166
2,600,15,1,555.8330812149526,26.602794200513394
2,600,15,1,86.1893068972553,10.475668660037915
2,600,15,1,2844.247127609425,60.17813488196289
2,600,15,1,905.8672051446221,33.96153630018602
2,600,15,1,547.0382539805388,26.391489867965007
2,600,15,1,761.6320385002357,31.14064915758427
2,600,15,1,1868.0213045894925,48.7692382082303
2,600,15,1,374.6596401860282,21.841050105274206
2,600,15,1,691.2734206249252,29.66743425650419
2,600,15,1,86.1893068972553,10.475668660037915
2,600,15,1,2984.964363360046,61.64880101879703
2,600,15,1,151.27102843191747,13.878193519773186
2,600,15,1,1254.142363627409,39.96027592620005
2,600,15,1,2149.455776090734,52.31416723773908
2,600,15,1,5686.7352897719675,85.09157567808134
2,600,15,1,168.86068290074508,14.66288167517604
2,600,15,1,749.3192803720564,30.8879092753491
2,600,15,1,4177.542936346558,72.93156289553575
2,600,15,1,390.49032920797305,22.297706809989304
2,600,15,1,564.6279084493664,26.81243333043158
2,600,15,1,4080.799836768006,72.08214568339251
2,600,15,1,1495.120629850347,43.63080001644258
2,600,15,1,536.4844612992422,26.135669711375986
2,600,15,1,253.29102435111764,17.95828913149357
2,600,15,1,4722.822224880214,77.54536749201458
2,600,15,1,3910.1801884203783,70.55916696600673
2,600,15,1,1525.023042447354,44.064948023075004
2,600,15,1,5106.276692300657,80.63196271328547
2,600,15,1,277.9165406074763,18.81101617769318
2,600,15,1,1593.6226948757817,45.045126645434834
2,600,15,1,177.6555101351589,15.039881011636455
2,600,15,1,3940.0826010173855,70.82844751325777
2,600,15,1,703.5861787531045,29.930481885822612
2,600,15,1,592.7713555994906,27.472530479290413
2,600,15,1,89.70723779102083,10.687319710970021
2,600,15,1,1781.8319976922373,47.63086144020713
2,600,15,1,5676.181497090671,85.01257992314949
2,600,15,1,96.74309957855188,11.098519723984092
2,600,15,1,128.4044776224416,12.786307466581347
2,600,15,1,949.8413413166911,34.77607736632612
2,600,15,1,831.9906563755461,32.54724880151178
2,600,15,1,87.94827234413806,10.582023352823148
2,600,15,1,8585.510346234758,104.55338963686913
2,600,15,1,219.87068086034517,16.731648024006365
2,600,15,1,3072.912635704184,62.55041075240773
2,600,15,1,284.9524023950073,19.047642035081665
2,600,15,1,138.95827030373815,13.301397100256697
2,600,15,1,714.1399714344011,30.154124960050144
2,600,15,1,2198.7068086034515,52.910116764115735
2,600,15,1,1442.3516664438644,42.85392839788424
2,600,15,1,1310.4292579276573,40.847158429582926
2,600,15,1,1097.594438854843,37.38315989361235
2,600,15,1,2348.2188715884863,54.67947628681023
2,600,15,1,2056.230607405948,51.167119544137485
2,600,15,1,877.7237579944979,33.429816003564106
2,600,15,1,5227.645308135567,81.58458636389253
2,600,15,1,293.74722962942116,19.339353373900057
2,600,15,1,622.6737681964975,28.156932807694748
2,600,15,1,434.46446538004204,23.519722322002245
2,600,15,1,80.91241055660703,10.149920235180122
2,600,15,1,1481.0489062752852,43.42499320847909
2,600,15,1,3247.0502149455774,64.29831053308881
2,600,15,1,96.74309957855188,11.098519723984092
2,600,15,1,1683.3299326668025,46.29559630361998
2,600,15,1,1046.584440895243,36.50414629945979
