 ,Area,X,Y
1,0.005,0.218,0.327
2,0.005,0.422,0.395
3,0.006,0.325,0.667
4,0.003,0.301,0.950
5,0.004,0.248,0.891
6,0.004,0.374,1.052
7,0.004,0.161,1.122
8,0.007,0.173,1.281
9,0.004,0.899,0.446
10,0.005,0.875,0.795
11,0.004,0.756,1.211
12,0.007,1.185,0.197
13,0.005,1.312,0.585
14,0.006,1.098,1.464
15,0.006,1.882,0.140
16,0.003,2.053,0.218
17,0.004,2.218,0.556
18,0.005,2.210,0.743
19,0.005,2.172,1.555
20,0.004,1.900,1.112
21,0.005,1.662,0.978
22,0.006,1.446,1.102
23,0.004,1.309,1.098
24,0.003,1.297,0.959
25,0.005,1.497,0.567
26,0.004,5.340,0.615
27,0.005,5.292,1.293
28,0.006,5.473,1.370
29,0.004,6.342,0.167
30,0.005,6.875,0.300
31,0.005,6.897,0.550
32,0.003,7.079,1.212
33,0.004,6.763,1.469
34,0.007,6.426,1.444
35,0.006,5.771,0.255
36,0.005,5.723,0.490
37,0.005,5.733,0.770
38,0.004,6.827,0.418
39,0.005,7.363,0.426
40,0.005,7.198,0.889
41,0.004,6.787,1.195
42,0.005,6.690,1.354
43,0.003,5.612,1.147
44,0.004,5.582,1.265
45,0.004,5.230,1.159
46,0.004,5.074,0.971
47,0.003,5.656,0.650
48,0.003,5.351,0.943
49,0.004,6.120,0.650
50,0.004,5.716,1.301
51,0.004,5.744,4.748
52,0.004,5.531,3.733
53,0.004,7.332,4.962
54,0.004,6.920,4.892
55,0.005,7.497,4.251
56,0.003,6.819,3.642
57,0.005,6.684,4.288
58,0.004,6.638,4.472
59,0.004,6.498,4.436
60,0.003,6.285,4.348
61,0.005,5.815,3.947
62,0.005,7.020,3.592
63,0.004,6.765,4.191
64,0.007,6.032,4.783
65,0.005,5.834,4.426
66,0.004,5.519,4.295
67,0.004,5.446,4.669
68,0.004,5.377,4.809
69,0.005,0.439,4.867
70,0.005,2.077,5.056
71,0.005,0.278,3.805
72,0.004,0.311,3.908
73,0.004,0.589,4.074
74,0.003,2.008,4.918
75,0.004,1.781,4.744
76,0.004,1.600,4.426
77,0.004,1.654,3.920
78,0.005,2.104,4.302
79,0.003,2.014,4.355
80,0.004,2.278,4.858
81,0.004,0.627,4.462
82,0.004,1.155,3.652
83,0.004,1.449,3.889
84,0.004,1.527,3.819
85,0.004,1.793,3.919
86,0.005,1.930,3.834
87,0.003,0.967,4.442
88,0.004,1.052,4.347
89,0.005,0.763,4.301
90,0.005,0.233,4.008
91,0.004,3.699,2.478
92,0.004,4.278,2.416
93,0.004,4.055,2.137
94,0.003,3.649,1.600
95,0.006,3.282,1.843
96,0.005,3.320,1.978
97,0.005,3.509,2.007
98,0.004,4.155,1.693
99,0.004,2.784,2.377
100,0.004,2.996,2.821
101,0.004,2.966,2.931
102,0.003,3.493,1.442
103,0.004,3.564,1.537
104,0.004,3.544,1.898
105,0.003,4.614,1.850
