 ,Area
1,146
2,103
3,615
4,371
5,286
6,110
7,70
8,243
9,453
10,150
11,628
12,328
13,293
14,912
15,204
16,376
17,354
18,456
19,559
20,941
21,147
22,126
23,259
24,504
25,114
26,223
27,666
28,22
29,379
30,361
31,78
32,235
33,214
34,105
35,68
36,369
37,356
38,83
39,267
40,24
41,550
42,251
43,284
44,540
45,23
46,319
47,464
48,1748
49,337
50,272
51,58
52,343
53,166
54,709
55,523
56,680
57,415
58,208
59,242
60,265
61,655
62,58
63,897
64,1719
65,156
66,316
67,422
68,314
69,35
70,180
71,24
72,700
73,360
74,532
75,383
76,593
77,264
78,546
79,374
80,177
81,698
82,245
83,257
84,664
85,326
86,32
87,328
88,35
89,20
90,430
91,371
92,594
93,310
94,230
95,72
96,709
97,244
98,157
99,500
100,331
101,131
102,386
103,209
104,116
105,347
106,209
107,113
108,432
109,139
110,619
111,179
112,557
113,385
114,28
115,205
116,263
117,70
118,382
119,246
120,160
121,299
122,490
123,227
124,270
125,93
126,416
127,58
128,168
129,519
130,245
131,543
132,322
133,375
134,172
135,228
136,200
137,44
138,115
139,26
140,351
141,713
142,222
143,783
144,75
145,31
146,249
147,176
148,27
149,865
150,975
151,395
152,230
153,409
154,73
155,187
156,618
157,650
158,258
159,1091
160,308
161,257
162,151
163,210
164,257
165,134
166,435
167,356
168,53
169,359
170,553
171,526
172,269
173,190
174,100
175,711
176,202
177,305
178,461
179,534
180,122
181,225
182,252
183,414
184,374
185,368
186,314
187,305
188,350
189,301
190,83
191,422
192,183
193,68
194,199
195,428
196,191
197,241
198,368
199,904
200,521
201,119
202,1367
203,226
204,259
205,43
206,270
207,511
208,233
209,534
210,226
211,156
212,599
213,351
214,26
215,23
216,385
217,226
218,55
219,347
220,397
221,166
222,287
223,513
224,556
225,162
226,275
227,115
228,24
229,204
230,487
231,21
232,264
233,261
234,124
235,264
236,217
237,455
238,402
239,223
240,339
241,73
242,411
243,324
244,72
245,365
246,255
247,516
248,517
249,22
250,354
251,477
252,145
253,529
254,1069
255,658
256,574
257,503
258,190
259,701
260,190
261,325
262,531
263,581
264,107
265,144
266,553
267,22
268,410
269,246
270,388
271,39
272,476
273,223
274,324
275,193
276,317
277,275
278,463
279,435
280,158
281,169
282,413
283,247
284,114
285,128
286,101
287,257
288,431
289,272
290,193
291,582
292,168
293,277
294,233
295,38
296,118
297,446
298,49
299,299
300,620
301,498
302,294
303,56
304,241
305,167
306,543
307,73
308,286
309,309
310,399
311,258
312,148
313,167
314,519
315,363
316,147
317,173
318,114
319,314
320,335
321,160
322,161
323,356
324,72
325,141
326,119
327,128
328,456
329,42
330,155
331,198
332,533
333,189
334,203
335,160
336,22
337,35
338,169
339,59
340,224
341,277
342,361
343,449
344,576
345,41
346,342
347,234
348,417
349,122
350,287
351,37
352,327
353,329
354,194
355,260
356,278
357,223
358,702
359,380
360,262
361,165
362,51
363,219
364,264
365,256
366,107
367,159
368,175
369,148
370,169
371,252
372,226
373,104
374,446
375,290
376,124
377,218
378,382
379,101
380,39
381,141
382,147
383,238
384,75
385,179
386,53
387,430
388,103
389,380
390,206
391,40
392,349
393,452
394,64
395,137
396,33
397,307
398,238
399,95
400,287
401,59
402,93
403,246
404,174
405,82
406,313
407,53
408,217
409,354
410,128
411,106
412,227
413,30
414,443
415,86
416,161
417,63
418,131
419,43
420,319
421,265
422,87
423,195
424,49
425,289
426,136
427,391
428,76
429,70
430,285
431,167
432,39
433,29
434,356
435,214
436,134
437,163
438,143
439,107
440,320
441,492
442,377
443,161
444,202
445,62
446,294
447,241
448,61
449,198
450,78
451,73
452,414
453,33
454,218
455,272
456,170
457,363
458,209
459,45
460,80
461,106
462,87
463,136
464,155
465,33
466,305
467,85
468,297
469,38
470,91
471,41
472,77
473,473
474,244
475,95
476,119
477,437
478,36
479,86
480,215
481,41
482,35
483,343
484,141
485,230
486,623
487,203
488,521
489,65
490,437
491,163
492,278
493,203
494,182
495,129
496,486
497,151
498,113
499,210
500,204
501,427
502,160
503,250
504,185
505,412
506,65
507,148
508,680
509,188
510,109
511,222
512,1008
513,37
514,360
515,273
516,42
517,95
518,501
519,318
520,263
521,170
522,131
523,197
524,347
525,26
526,203
527,325
528,54
529,40
530,317
531,54
532,289
533,150
534,298
535,220
536,216
537,997
538,148
539,175
540,694
541,223
542,158
543,417
544,130
545,767
546,140
547,1042
548,20
549,362
550,84
551,35
552,235
553,156
554,50
555,468
556,81
557,480
558,26
559,525
560,512
561,303
562,168
563,176
564,171
565,39
566,513
567,285
568,62
569,467
570,568
571,22
572,258
573,434
574,27
575,656
576,468
577,254
578,661
579,639
580,59
581,124
582,328
583,148
584,159
585,261
586,435
587,775
588,1223
589,460
590,242
591,31
592,237
593,247
594,32
595,151
596,291
597,279
598,568
599,79
600,361
601,21
602,289
603,290
604,335
605,258
606,55
607,801
608,420
609,56
610,322
611,62
612,69
613,517
614,194
615,173
616,203
617,301
618,389
619,49
620,602
621,650
622,284
623,71
624,89
625,176
626,635
627,313
628,114
629,350
630,229
631,223
632,131
633,887
634,60
635,431
636,184
637,28
638,262
639,120
640,128
641,792
642,70
643,665
644,59
645,253
646,69
647,45
648,193
649,194
650,237
651,350
652,394
653,132
654,514
655,700
656,208
657,203
658,308
659,207
660,267
661,290
662,332
663,255
664,144
665,280
666,412
667,385
668,321
669,150
670,103
671,498
672,324
673,383
674,284
675,1110
676,22
677,354
678,242
679,501
680,298
681,487
682,143
683,320
684,424
685,122
686,244
687,193
688,237
689,545
690,49
691,575
692,444
693,268
694,381
695,797
696,192
697,385
698,440
699,356
700,497
701,425
702,320
703,160
704,399
705,490
706,735
707,485
708,234
709,293
710,658
711,22
712,185
713,84
714,325
715,231
716,195
717,129
718,435
719,51
720,323
721,76
722,235
723,356
724,179
725,275
726,476
727,1003
728,1216
729,293
730,467
731,235
732,69
733,22
734,417
735,83
736,380
737,327
738,353
739,184
740,308
741,265
742,224
743,327
744,254
745,200
746,296
747,232
748,59
749,919
750,134
751,216
752,323
753,76
754,384
755,49
756,412
757,167
758,443
759,178
760,212
761,151
762,143
763,203
764,138
765,252
766,327
767,458
768,512
769,62
770,821
771,312
772,248
773,215
774,267
775,394
776,413
777,243
778,100
779,373
780,578
781,1160
782,135
783,309
784,296
785,21
786,459
787,260
788,419
789,47
790,546
791,173
792,375
793,403
794,78
795,67
796,299
797,475
798,96
799,468
800,67
801,140
802,218
803,201
804,480
805,201
806,380
807,796
808,434
809,598
810,363
811,42
812,521
813,265
814,587
815,613
816,197
817,233
818,256
819,696
820,388
821,348
822,231
823,1207
824,486
825,860
826,294
827,372
828,151
829,378
830,344
831,307
832,177
833,41
834,475
835,222
836,100
837,378
838,228
839,116
840,106
841,245
842,266
843,94
844,416
845,46
846,204
847,381
848,633
849,158
