 ,Area,X,Y
1,7277.749,455.364,466.678
2,3207.143,497.029,294.653
3,5920.880,577.552,124.836
4,3207.143,811.316,744.109
5,2898.764,791.439,818.006
6,3083.792,222.251,1455.863
7,3453.847,573.859,1185.302
8,4070.605,2264.991,172.894
9,2343.682,1415.265,765.086
10,3700.550,1267.146,1535.077
11,3207.143,1181.785,1654.499
12,3700.550,2194.763,684.685
13,3515.523,4340.793,1019.633
14,2960.440,3485.926,1193.062
15,3083.792,3219.107,1572.878
16,2775.413,3046.158,2335.513
17,4440.660,4811.623,2182.917
18,3700.550,4365.834,1926.438
19,4193.957,4951.566,1243.031
20,4132.281,4715.613,919.375
21,3453.847,4632.522,936.377
22,3947.253,4004.864,1510.429
23,3207.143,4100.530,1484.443
24,1788.599,3761.100,1390.457
25,2282.006,3758.699,1718.302
26,4687.363,2881.680,1972.546
27,2898.764,7379.603,729.781
28,4378.984,7881.215,936.379
29,3207.143,7173.927,195.580
30,3577.198,6468.355,361.392
31,3083.792,6863.240,1547.590
32,3700.550,6923.685,756.675
33,5859.204,7010.644,738.426
34,4564.012,7399.067,604.181
35,2775.413,7561.686,550.174
36,4687.363,6094.856,140.431
37,3022.116,7029.030,3813.625
38,3330.495,6882.920,4062.533
39,3022.116,6512.950,4313.678
40,2467.033,6042.992,3978.334
41,4995.743,6463.782,3644.218
42,3022.116,6581.066,3223.178
43,3022.116,7114.776,3140.958
44,3207.143,6212.490,3106.471
45,2898.764,5206.050,3157.149
46,2898.764,5543.746,4100.726
47,4132.281,4880.769,4302.665
48,3823.902,5425.304,2867.883
49,3207.143,94.392,3724.020
50,4502.336,1907.031,3325.806
51,3700.550,2108.375,2822.380
52,3515.523,578.189,3176.561
53,3207.143,644.281,3448.547
54,3515.523,1177.389,3997.310
55,3330.495,900.232,4053.225
56,4934.067,1751.995,2899.965
57,4440.660,1893.105,3962.366
58,3330.495,1763.524,4115.761
59,2343.682,2413.473,3511.915
60,4934.067,2249.311,2747.314
