 ,Area
1,31
2,21
3,26
4,37
5,22
6,20
7,271
8,41
9,54
10,31
11,20
12,1141
13,27
14,21
15,41
16,20
17,25
18,34
19,22
20,20
21,1236
22,47
23,1285
24,21
25,30
26,1194
27,28
28,21
29,1178
30,24
31,2897
32,37
33,27
34,28
35,26
36,2814
37,2788
38,2285
39,2075
40,28
41,141
42,2646
43,21
44,34
45,2012
46,1492
47,225
48,1470
49,1385
50,23
51,1711
52,55
53,648
54,2226
55,693
56,85
57,1580
58,2658
59,92
60,28
61,261
62,75
63,43
64,98
65,23
66,24
67,22
68,1892
69,2452
70,1383
71,478
72,1362
73,2061
74,3530
75,22
76,1152
77,1347
78,1010
79,144
80,1133
81,2487
82,55
83,2239
84,1886
85,1001
86,26
87,583
88,28
89,1136
90,1417
91,150
92,1573
93,552
94,862
95,439
96,271
97,33
98,1313
99,620
100,1385
101,517
102,387
103,341
104,467
105,302
106,597
107,1953
108,1992
109,22
110,26
111,1296
112,35
113,2403
114,1690
115,2084
116,1269
117,1382
118,689
119,27
120,170
121,2734
122,1606
123,717
124,1787
125,625
126,274
127,547
128,831
129,217
130,1741
131,704
132,794
133,1595
134,27
135,1018
136,259
137,458
138,267
139,1155
140,196
141,404
142,510
143,1525
144,580
145,770
146,2417
147,1701
148,918
149,2417
150,1633
151,988
152,937
153,1234
154,899
155,847
156,1008
157,884
158,2420
159,1207
160,782
161,28
162,169
163,986
164,218
165,452
166,1568
167,3420
168,1696
169,1543
170,255
171,26
172,1009
173,1435
174,140
175,1054
176,466
177,2381
178,1648
179,1614
180,204
181,2635
182,339
183,23
184,537
185,2026
186,1158
187,2714
188,1122
189,567
190,1010
191,24
192,4235
193,21
194,888
195,1834
196,2400
197,128
198,1717
199,686
200,1573
201,1031
202,760
203,26
204,1467
205,24
206,1398
207,22
208,294
209,611
210,1411
211,194
212,30
213,20
214,1292
215,1350
216,1370
217,1649
218,693
219,20
220,1164
221,1884
222,890
223,41
224,822
225,45
226,727
227,71
228,2931
229,1010
230,1246
231,769
232,2176
233,29
234,2675
235,1840
236,1381
237,1022
238,2194
239,947
240,802
241,247
242,1473
243,25
244,2977
245,959
246,33
247,345
248,44
249,61
250,164
251,325
252,1190
253,2059
254,37
255,224
256,1151
257,161
258,137
259,1403
260,713
261,658
262,1544
263,540
264,50
265,126
266,1351
267,134
268,932
269,2393
270,1756
271,137
272,1852
273,1012
274,35
275,1377
276,138
277,25
278,739
279,72
280,1074
281,665
282,162
283,47
284,432
285,39
286,3630
287,29
288,42
289,569
290,801
291,25
292,1230
293,21
294,439
295,127
296,329
297,1119
298,505
299,1090
300,22
301,2221
302,813
303,893
304,841
305,20
306,1522
307,437
308,2413
309,321
310,312
311,1077
312,26
313,214
314,225
315,1869
316,784
317,1651
318,191
319,1941
320,1313
321,42
322,1429
323,562
324,1803
325,1258
326,64
327,1297
328,827
329,1541
330,768
331,682
332,191
333,84
334,206
335,50
336,1525
337,1659
338,1723
339,1816
340,25
341,193
342,434
343,48
344,1898
345,21
346,106
347,4571
348,138
349,121
350,1205
351,99
352,1571
353,529
354,24
355,213
356,1839
357,2981
358,23
359,1282
360,246
361,23
362,23
363,1592
364,3050
365,22
366,1160
367,1684
368,900
369,1818
370,854
371,1667
372,25
373,152
374,111
375,3695
376,1574
377,974
378,1009
379,56
380,450
381,1965
382,666
383,1207
384,290
385,632
386,1386
387,635
388,302
389,31
390,50
391,1755
392,2735
393,1111
394,775
395,193
396,1401
397,25
398,503
399,1855
400,1016
401,24
402,30
403,1215
404,897
405,704
406,682
407,411
408,358
409,1330
410,155
411,1098
412,135
413,763
414,23
415,543
416,678
417,331
418,1254
419,2176
420,27
421,137
422,1857
423,1769
424,527
425,26
426,1141
427,1625
428,439
429,618
430,38
431,2148
432,24
433,22
434,605
435,1270
436,1037
437,1601
438,1414
439,1972
440,783
441,796
442,329
443,2007
444,995
445,1457
446,537
447,790
448,598
449,1807
450,246
451,1836
452,55
453,1532
454,1500
455,20
456,52
457,970
458,1652
459,1891
460,20
461,1047
462,983
463,1699
464,1102
465,295
466,2088
467,1020
468,23
469,1446
470,550
471,1185
472,49
473,1725
474,1641
475,328
476,942
477,108
478,1619
479,664
480,2243
481,1274
482,846
483,23
484,297
485,581
486,21
487,1372
488,2129
489,535
490,860
491,33
492,1786
493,23
494,1154
495,128
496,1486
497,1157
498,1145
499,485
500,1684
501,1636
502,1791
503,23
504,286
505,42
506,21
507,22
508,49
509,44
510,1404
511,65
512,345
513,22
514,226
515,1086
516,438
517,894
518,552
519,80
520,92
521,183
522,401
523,276
524,1133
525,1631
526,792
527,761
528,1331
529,461
530,26
531,25
532,737
533,919
534,351
535,777
536,2022
537,524
538,1177
539,362
540,98
541,346
542,1313
543,101
544,550
545,690
546,48
547,862
548,1258
549,311
550,35
551,1129
552,965
553,429
554,516
555,263
556,759
557,2204
558,57
559,25
560,26
561,814
562,116
563,189
564,584
565,41
566,258
567,2022
568,766
569,45
570,697
571,651
572,651
573,120
574,405
575,960
576,1375
577,62
578,488
579,310
580,1807
581,725
582,738
583,318
584,140
585,1380
586,1121
587,838
588,945
589,113
590,148
591,252
592,141
593,384
594,532
595,1052
596,119
597,430
598,1359
599,368
600,719
601,570
602,466
603,718
604,1007
605,181
606,238
607,169
608,143
609,36
610,1054
611,1101
612,391
613,350
614,1506
615,499
616,142
617,1065
618,1108
619,899
620,870
621,256
622,302
623,1143
624,1789
625,167
626,1426
627,684
628,747
629,1441
630,197
631,467
632,534
633,315
634,676
635,1193
