 ,Area,X,Y
1,0.013,0.484,0.372
2,0.015,0.571,0.172
3,0.012,0.339,0.836
4,0.027,0.612,1.040
5,0.011,0.874,0.309
6,0.013,0.671,0.429
7,0.010,0.940,1.197
8,0.016,1.569,0.379
9,0.015,2.488,0.079
10,0.010,0.462,2.786
11,0.015,0.768,2.349
12,0.011,0.801,2.157
13,0.016,4.433,2.764
14,0.014,3.240,3.099
15,0.013,3.416,2.861
16,0.019,2.841,2.867
17,0.013,2.831,2.373
18,0.013,3.182,2.346
19,0.018,1.877,2.775
20,0.015,1.553,2.731
21,0.012,1.195,2.633
22,0.014,1.936,1.788
23,0.014,2.559,1.482
24,0.011,3.166,0.671
25,0.013,2.969,0.604
26,0.013,1.908,1.024
27,0.011,1.574,1.614
28,0.034,1.623,1.284
29,0.013,2.060,1.563
30,0.012,1.792,1.487
31,0.013,1.970,1.350
32,0.012,1.341,1.358
33,0.018,3.818,2.046
34,0.019,3.813,1.697
35,0.010,3.625,1.522
36,0.013,3.294,1.962
37,0.011,4.234,1.243
38,0.016,2.839,1.970
39,0.013,1.802,0.240
40,0.014,7.184,4.485
41,0.022,7.229,4.839
42,0.018,3.275,3.748
43,0.009,3.085,4.593
44,0.014,3.338,4.933
45,0.011,3.223,4.754
46,0.015,4.138,5.053
47,0.009,3.891,4.914
48,0.011,4.085,4.542
49,0.013,3.920,4.364
50,0.012,4.772,2.387
51,0.013,5.116,2.277
52,0.017,4.893,2.547
53,0.011,5.029,2.701
54,0.012,4.379,3.868
55,0.017,4.626,3.421
56,0.016,4.532,4.047
57,0.013,5.033,4.854
58,0.012,5.260,4.840
59,0.016,5.585,4.251
60,0.015,5.865,2.651
61,0.014,7.075,2.938
62,0.014,6.766,3.278
63,0.011,6.960,3.131
64,0.015,7.317,3.496
65,0.014,7.004,3.422
66,0.015,7.234,3.327
67,0.009,6.802,4.291
68,0.015,7.089,3.989
69,0.010,6.806,4.441
70,0.015,5.341,2.134
71,0.015,4.269,4.248
72,0.017,5.512,3.425
73,0.014,5.034,3.618
74,0.017,6.473,2.319
75,0.013,7.308,1.944
76,0.011,7.457,0.942
77,0.014,7.643,0.910
78,0.011,5.514,1.095
79,0.011,3.942,3.171
80,0.016,3.098,1.137
81,0.017,4.845,0.177
82,0.011,5.509,0.667
83,0.012,6.191,0.531
84,0.009,6.278,0.361
85,0.009,4.810,1.921
86,0.021,5.908,1.954
87,0.019,6.085,2.995
88,0.011,7.083,2.744
89,0.009,3.531,3.373
90,0.009,3.716,2.712
91,0.011,1.973,3.686
92,0.007,1.757,4.211
93,0.009,2.648,4.868
94,0.018,5.613,4.621
95,0.012,5.017,5.051
96,0.016,5.970,3.271
97,0.009,5.392,3.614
98,0.013,4.877,3.492
99,0.012,3.379,3.970
100,0.015,3.098,2.501
