"name","w","blank","raw","transmittance"
"sample_4_300C.xls",3461,100,85.4241,85.4241
"sample_4_300C.xls",3460,100,85.4007,85.4007
"sample_4_300C.xls",3459,100,85.3725,85.3725
"sample_4_300C.xls",3458,100,85.3462,85.3462
"sample_4_300C.xls",3457,100,85.3265,85.3265
"sample_4_300C.xls",3456,100,85.3141,85.3141
"sample_4_300C.xls",3455,100,85.3068,85.3068
"sample_4_300C.xls",3454,100,85.3013,85.3013
"sample_4_300C.xls",3453,100,85.2953,85.2953
"sample_4_300C.xls",3452,100,85.2889,85.2889
"sample_4_300C.xls",3451,100,85.2838,85.2838
"sample_4_300C.xls",3450,100,85.2816,85.2816
"sample_4_300C.xls",3449,100,85.283,85.283
"sample_4_300C.xls",3448,100,85.2865,85.2865
"sample_4_300C.xls",3447,100,85.2887,85.2887
"sample_4_300C.xls",3446,100,85.2858,85.2858
"sample_4_300C.xls",3445,100,85.2749,85.2749
"sample_4_300C.xls",3444,100,85.2555,85.2555
"sample_4_300C.xls",3443,100,85.2305,85.2305
"sample_4_300C.xls",3442,100,85.2047,85.2047
"sample_4_300C.xls",3441,100,85.1824,85.1824
"sample_4_300C.xls",3440,100,85.166,85.166
"sample_4_300C.xls",3439,100,85.1546,85.1546
"sample_4_300C.xls",3438,100,85.1454,85.1454
"sample_4_300C.xls",3437,100,85.1361,85.1361
"sample_4_300C.xls",3436,100,85.1259,85.1259
"sample_4_300C.xls",3435,100,85.1157,85.1157
"sample_4_300C.xls",3434,100,85.1064,85.1064
"sample_4_300C.xls",3433,100,85.0978,85.0978
"sample_4_300C.xls",3432,100,85.0895,85.0895
"sample_4_300C.xls",3431,100,85.0821,85.0821
"sample_4_300C.xls",3430,100,85.0788,85.0788
"sample_4_300C.xls",3429,100,85.0839,85.0839
"sample_4_300C.xls",3428,100,85.1007,85.1007
"sample_4_300C.xls",3427,100,85.1281,85.1281
"sample_4_300C.xls",3426,100,85.1595,85.1595
"sample_4_300C.xls",3425,100,85.1852,85.1852
"sample_4_300C.xls",3424,100,85.1957,85.1957
"sample_4_300C.xls",3423,100,85.1861,85.1861
"sample_4_300C.xls",3422,100,85.159,85.159
"sample_4_300C.xls",3421,100,85.1224,85.1224
"sample_4_300C.xls",3420,100,85.0871,85.0871
"sample_4_300C.xls",3419,100,85.0619,85.0619
"sample_4_300C.xls",3418,100,85.0501,85.0501
"sample_4_300C.xls",3417,100,85.0492,85.0492
"sample_4_300C.xls",3416,100,85.0523,85.0523
"sample_4_300C.xls",3415,100,85.0518,85.0518
"sample_4_300C.xls",3414,100,85.043,85.043
"sample_4_300C.xls",3413,100,85.0261,85.0261
"sample_4_300C.xls",3412,100,85.0062,85.0062
"sample_4_300C.xls",3411,100,84.99,84.99
