file,q,int,int_n
PY02_P1.csv,0.54327168,820.308785714286,0.2869612035928822
PY02_P1.csv,0.54711103,867.387975,0.3034304905941689
PY02_P1.csv,0.55095043,896.462914285714,0.31360151364929006
PY02_P1.csv,0.55478983,962.120789285714,0.3365700142474458
PY02_P1.csv,0.55862918,985.729367857143,0.34482878977192744
PY02_P1.csv,0.56246858,1023.08323571429,0.3578959555341504
PY02_P1.csv,0.56630793,1042.77511785714,0.36478458856981993
PY02_P1.csv,0.57014732,1051.08749285714,0.36769243153853615
PY02_P1.csv,0.57398667,1062.08955357143,0.37154118293503074
PY02_P1.csv,0.57782607,1044.12628571429,0.36525725540125725
PY02_P1.csv,0.58166542,1036.58013928571,0.36261745524387157
PY02_P1.csv,0.58550482,1027.22687857143,0.3593454886395511
PY02_P1.csv,0.58934417,1017.74965357143,0.3560301567302964
PY02_P1.csv,0.59318357,1013.09820714286,0.35440298329410314
PY02_P1.csv,0.59702296,1007.53111071429,0.3524554962995941
PY02_P1.csv,0.60086231,998.770985714286,0.34939102099784985
PY02_P1.csv,0.60470171,987.065228571429,0.34529610184401527
PY02_P1.csv,0.60854106,988.711896428571,0.34587214076793305
PY02_P1.csv,0.61238046,984.760625,0.34448990321957185
PY02_P1.csv,0.61621981,976.586617857143,0.3416304642269142
PY02_P1.csv,0.6200592,975.667114285714,0.34130880260855734
PY02_P1.csv,0.62389855,973.484632142857,0.34054532461899895
PY02_P1.csv,0.62773795,966.263503571428,0.3380192225191027
PY02_P1.csv,0.6315773,947.974278571429,0.3316212683460155
PY02_P1.csv,0.6354167,937.70225,0.328027897491611
PY02_P1.csv,0.6392561,911.709217857143,0.3189349901393536
PY02_P1.csv,0.64309545,901.290510714286,0.3152903080468747
PY02_P1.csv,0.64693484,901.447517857143,0.3153452324356799
PY02_P1.csv,0.65077419,892.428325,0.31219012976849536
PY02_P1.csv,0.65461359,900.335553571428,0.3149562440262687
PY02_P1.csv,0.65845294,890.454189285714,0.3114995357257485
PY02_P1.csv,0.66229234,890.980371428571,0.3116836052659666
PY02_P1.csv,0.66613169,888.966210714286,0.3109790096394582
PY02_P1.csv,0.66997108,888.010153571429,0.310644560815801
PY02_P1.csv,0.67381043,889.662403571429,0.31122255249026964
PY02_P1.csv,0.67764983,885.967367857143,0.30992995156442815
PY02_P1.csv,0.68148923,888.182321428571,0.31070478874017027
PY02_P1.csv,0.68532858,878.805196428571,0.30742447390860617
PY02_P1.csv,0.68916798,881.248957142857,0.30827935261779116
PY02_P1.csv,0.69300733,874.672946428571,0.30597892626338113
PY02_P1.csv,0.69684672,873.151260714286,0.3054466087121543
PY02_P1.csv,0.70068607,876.022882142857,0.30645116206542394
PY02_P1.csv,0.70452547,869.633532142857,0.30421603354052384
PY02_P1.csv,0.70836482,872.852,0.30534192104300445
PY02_P1.csv,0.71220422,868.278203571429,0.3037419112040403
PY02_P1.csv,0.71604357,871.43135,0.30484494790193384
PY02_P1.csv,0.71988297,868.889489285714,0.3039557517569702
PY02_P1.csv,0.72372236,868.674853571429,0.30388066768621796
PY02_P1.csv,0.72756171,869.424075,0.30414276104257904
PY02_P1.csv,0.73140111,860.398889285714,0.3009855619483798
PY02_P1.csv,0.73524046,866.252042857143,0.3030331177260602
PY02_P1.csv,0.73907986,861.053735714286,0.3012146409520234
PY02_P1.csv,0.74291921,863.164003571428,0.3019528568711197
PY02_P1.csv,0.7467586,862.868817857143,0.30184959472236567
PY02_P1.csv,0.75059795,862.511339285714,0.3017245412267767
PY02_P1.csv,0.75443735,865.150746428571,0.3026478611566326
PY02_P1.csv,0.75827675,858.701446428571,0.30039176086542324
PY02_P1.csv,0.7621161,865.856357142857,0.3028946985712328
PY02_P1.csv,0.7659555,855.124142857143,0.29914034511034243
PY02_P1.csv,0.76979485,859.007339285714,0.3004987685971274
PY02_P1.csv,0.77363424,857.285185714286,0.2998963231884774
PY02_P1.csv,0.77747359,856.130864285714,0.29949251736286064
PY02_P1.csv,0.78131299,858.319946428572,0.30025830417072863
PY02_P1.csv,0.78515234,854.143860714286,0.2987974218740273
PY02_P1.csv,0.78899174,857.285482142857,0.2998964268854035
PY02_P1.csv,0.79283109,849.699275,0.2972426126506534
PY02_P1.csv,0.79667048,855.634457142857,0.2993188637416059
PY02_P1.csv,0.80050983,852.798492857143,0.2983267840041369
PY02_P1.csv,0.80434923,852.863192857143,0.2983494174199869
PY02_P1.csv,0.80818863,858.010239285714,0.30014996212194944
PY02_P1.csv,0.81202803,851.677757142857,0.2979347271651979
PY02_P1.csv,0.81586733,859.661978571428,0.30072777513785837
PY02_P1.csv,0.81970673,852.619214285714,0.2982640686028983
PY02_P1.csv,0.82354612,856.476210714286,0.2996133267806377
PY02_P1.csv,0.82738552,854.535803571429,0.2989345316989909
PY02_P1.csv,0.83122482,854.189353571429,0.298813336228802
PY02_P1.csv,0.83506422,860.74125,0.3011053269007311
PY02_P1.csv,0.83890362,856.925910714286,0.29977064126452846
PY02_P1.csv,0.84274302,868.185146428572,0.3037093578653681
PY02_P1.csv,0.84658241,872.296135714286,0.30514746806719745
PY02_P1.csv,0.85042171,880.019325,0.3078492015261099
PY02_P1.csv,0.85426111,884.68345,0.3094808101922809
PY02_P1.csv,0.85810051,884.790721428571,0.3095183359859698
PY02_P1.csv,0.86193991,889.214428571429,0.31106584144752786
PY02_P1.csv,0.86577921,884.396485714286,0.3093804240715289
PY02_P1.csv,0.86961861,892.167789285714,0.3120989889158647
PY02_P1.csv,0.873458,885.258246428571,0.30968188602840035
PY02_P1.csv,0.8772974,886.500596428571,0.31011648609302506
PY02_P1.csv,0.8811368,888.277239285714,0.3107379929956928
PY02_P1.csv,0.8849761,878.755878571429,0.3074072214886754
PY02_P1.csv,0.8888155,885.63885,0.3098150291335957
PY02_P1.csv,0.8926549,879.563267857143,0.3076896631804278
PY02_P1.csv,0.89649429,877.292789285714,0.3068954021961061
PY02_P1.csv,0.9003336,876.012735714286,0.30644761263208176
PY02_P1.csv,0.90417299,872.106871428571,0.3050812594538414
PY02_P1.csv,0.90801239,872.739207142857,0.3053024637378943
PY02_P1.csv,0.91185179,873.478310714286,0.3055610176557978
PY02_P1.csv,0.91569109,881.362814285714,0.3083191822323471
PY02_P1.csv,0.91953049,879.219221428571,0.30756930852989345
PY02_P1.csv,0.92336988,881.946067857143,0.3085232165542658
PY02_P1.csv,0.92720928,884.094810714286,0.30927489183464263
PY02_P1.csv,0.93104868,882.721760714286,0.30879457017107526
PY02_P1.csv,0.93488798,882.471292857143,0.3087069512658547
PY02_P1.csv,0.93872738,881.092039285714,0.30822445946299976
PY02_P1.csv,0.94256678,883.184692857143,0.30895651353582954
PY02_P1.csv,0.94640617,877.72475,0.30704651110611053
PY02_P1.csv,0.95024548,883.727410714286,0.3091463676154265
PY02_P1.csv,0.95408487,883.153792857143,0.3089457040682907
PY02_P1.csv,0.95792427,882.789917857143,0.3088184129679443
PY02_P1.csv,0.96176367,885.842646428571,0.3098863213950576
PY02_P1.csv,0.96560307,883.550985714286,0.309084650453273
PY02_P1.csv,0.96944237,886.614496428571,0.3101563306999077
PY02_P1.csv,0.97328176,882.170789285714,0.308601828819231
PY02_P1.csv,0.97712116,887.144553571429,0.31034175579633055
PY02_P1.csv,0.98096056,886.996332142857,0.3102899048344952
PY02_P1.csv,0.98479986,886.156710714286,0.3099961876637162
PY02_P1.csv,0.98863926,888.376785714286,0.31077281642249727
PY02_P1.csv,0.99247866,884.414478571429,0.3093867183500149
PY02_P1.csv,0.99631805,888.572203571429,0.31084117768409275
PY02_P1.csv,1.0001574,886.564292857143,0.31013876843855864
PY02_P1.csv,1.0039968,891.361625,0.31181697575478334
PY02_P1.csv,1.0078362,891.351453571428,0.3118134175759169
PY02_P1.csv,1.0116755,891.763260714286,0.3119574763442986
PY02_P1.csv,1.0155149,894.427853571428,0.312889606764802
PY02_P1.csv,1.0193542,893.242764285714,0.3124750376979872
PY02_P1.csv,1.0231936,895.862275,0.31339139744018035
PY02_P1.csv,1.027033,893.715228571428,0.312640315606068
PY02_P1.csv,1.0308724,899.101946428571,0.3145247023962875
PY02_P1.csv,1.0347117,897.822332142857,0.31407706650361156
PY02_P1.csv,1.0385511,896.819039285714,0.3137260936372278
PY02_P1.csv,1.0423905,902.985639285714,0.31588329954419003
PY02_P1.csv,1.0462299,898.218028571429,0.31421548940652066
PY02_P1.csv,1.0500693,900.304771428571,0.31494547578762827
PY02_P1.csv,1.0539086,899.414675,0.3146341014040977
PY02_P1.csv,1.057748,902.849914285714,0.3158358200949437
PY02_P1.csv,1.0615874,903.242942857143,0.31597330972551674
PY02_P1.csv,1.0654268,906.599371428572,0.31714745877695244
PY02_P1.csv,1.0692661,908.729246428571,0.3178925336855064
PY02_P1.csv,1.0731055,903.373296428571,0.3160189101364852
PY02_P1.csv,1.0769449,905.666703571429,0.3168211920155827
PY02_P1.csv,1.0807843,905.53685,0.3167757665150918
PY02_P1.csv,1.0846236,908.377732142857,0.3177695666220478
PY02_P1.csv,1.088463,909.978792857143,0.3183296512116536
PY02_P1.csv,1.0923024,912.555464285714,0.31923102487396576
PY02_P1.csv,1.0961418,914.316492857143,0.31984706957227854
PY02_P1.csv,1.0999812,910.505828571429,0.318514019349045
PY02_P1.csv,1.1038205,915.975432142857,0.3204274012990703
PY02_P1.csv,1.1076599,912.775975,0.3193081641428345
PY02_P1.csv,1.1114993,915.565703571428,0.3202840696585329
PY02_P1.csv,1.1153387,919.49525,0.3216587073466265
PY02_P1.csv,1.119178,918.754914285714,0.3213997223993309
PY02_P1.csv,1.1230174,924.425853571429,0.32338353580139506
PY02_P1.csv,1.1268568,923.810692857143,0.3231683396922605
PY02_P1.csv,1.1306962,931.045928571429,0.3256993767663568
PY02_P1.csv,1.1345356,931.532785714286,0.32586968959748214
PY02_P1.csv,1.1383749,939.729971428572,0.3287372369401546
PY02_P1.csv,1.1422143,945.071046428571,0.33060565690245575
PY02_P1.csv,1.1460537,948.279825,0.3317281548897454
PY02_P1.csv,1.1498931,953.1804,0.33344247872095084
PY02_P1.csv,1.1537324,947.31645,0.33139114612630693
PY02_P1.csv,1.1575718,951.917832142857,0.3330008060262132
PY02_P1.csv,1.1614112,948.732146428572,0.33188638640428525
PY02_P1.csv,1.1652506,952.722560714286,0.33328231694435084
PY02_P1.csv,1.16909,951.918378571429,0.33300099717837855
PY02_P1.csv,1.1729293,951.070217857143,0.33270429278650765
