w   Int   P
187.93803   289.78281  0
188.26863   286.28607  0
188.59923   282.26871  0
188.92982   280.69565  0
189.26041   287.90442  0
189.591 293.20807  0
189.9216    306.46677  0
190.2522    335.02591  0
190.58279   386.79327  0
190.91339   445.12482  0
191.24397   504.38974  0
191.57457   555.06659  0
191.90517   514.34924  0
192.23576   470.20398  0
192.56636   427.32831  0
192.89694   390.32709  0
193.22754   379.31174  0
193.55814   363.83347  0
193.88873   350.33771  0
194.21933   342.08893  0
194.54993   335.92221  0
194.88051   325.75763  0
195.21111   317.3186  0
195.5417    313.51434  0
195.8723    314.46716  0
196.2029    307.38983  0
196.53348   302.4855  0
196.86407   303.08307  0
197.19467   301.17892  0
197.52527   294.63995  0
197.85587   286.98959  0
198.18646   281.84241  0
198.51704   292.61679  0
198.84764   289.23438  0
199.17824   280.16061  0
199.50883   271.03763  0
199.83943   275.77155  0
200.17001   278.07407  0
200.50061   277.46341  0
200.83121   274.86505  0
201.1618    275.02466  0
201.4924    277.54831  0
201.823 273.03647  0
202.15358   262.85208  0
202.48418   261.40387  0
202.81477   266.84851  0
203.14537   270.16199  0
203.47597   270.90155  0
203.80655   273.92999  0
204.13715   263.32379  0
204.46774   256.621  0
204.79834   256.04144  0
205.12894   259.04523  0
205.45952   265.14008  0
205.79012   268.7312  0
206.12071   268.03848  0
206.45131   260.68274  0
206.78191   262.82205  0
207.1125    273.13239  0
207.44308   282.38461  0
207.77368   273.1507  0
208.10428   275.45279  0
208.43488   273.29321  0
208.76547   265.29587  0
209.09605   251.24597  0
209.42665   265.88782  0
209.75725   265.65829  0
210.08784   256.9501  0
210.41844   251.84169  0
210.74904   255.83562  0
211.07962   257.05991  0
211.41022   256.12576  0
211.74081   254.15581  0
212.07141   239.63348  0
212.40201   241.87663  0
212.73259   248.66649  0
213.06319   248.10945  0
213.39378   251.66629  0
213.72438   249.44504  0
214.05498   247.85599  0
214.38557   251.7688  0
214.71616   256.92206  0
215.04675   253.47293  0
215.37735   247.79741  0
215.70795   244.29861  0
216.03854   247.01842  0
216.36913   246.31743  0
216.69972   245.74561  0
217.03032   246.8654  0
217.36092   247.11267  0
217.69151   251.83969  0
218.02211   251.06717  0
218.35269   243.52487  0
218.68329   247.31502  0
219.01389   247.72581  0
219.34448   246.16667  0
219.67508   244.3847  0
220.00566   248.26218  0
220.33626   244.73143  0
220.66685   244.14316  0
220.99745   247.61848  0
221.32805   249.93857  0
221.65863   246.70947  0
221.98923   244.93474  0
222.31982   246.26799  0
222.65042   251.57356  0
222.98102   244.05951  0
223.31161   237.01761  0
223.6422    236.80508  0
223.97279   252.86823  0
224.30339   250.16029  0
224.63399   244.23343  0
224.96458   241.81624  0
225.29517   251.44576  0
225.62576   245.02185  0
225.95636   244.49844  0
226.28696   243.15497  0
226.61755   231.74144  0
226.94815   236.549  0
227.27873   244.05183  0
227.60933   245.3183  0
227.93993   232.93347  0
228.27052   235.00046  0
228.60112   241.17976  0
228.9317    246.30289  0
229.2623    246.30693  0
229.5929    237.76822  0
229.92349   241.16542  0
230.25409   245.43495  0
230.58469   244.46979  0
230.91527   237.14766  0
231.24586   238.62914  0
231.57646   239.7999  0
231.90706   239.19864  0
232.23766   249.30894  0
232.56824   246.05362  0
232.89883   240.24875  0
233.22943   236.02705  0
233.56003   237.07712  0
233.89063   239.34612  0
234.22122   241.90556  0
234.5518    244.33948  0
234.8824    246.05455  0
235.213 243.94632  0
235.54359   243.30763  0
235.87419   243.21054  0
236.20477   240.39406  0
236.53537   242.96143  0
236.86597   247.75937  0
237.19656   249.10701  0
237.52716   239.20381  0
237.85776   240.88498  0
238.18834   248.8179  0
238.51894   253.91518  0
238.84953   247.22354  0
239.18013   248.99429  0
239.51073   249.36075  0
239.84131   248.35246  0
240.17191   246.32089  0
240.5025    248.38303  0
240.8331    239.07787  0
241.1637    234.53418  0
241.49428   242.04631  0
241.82487   246.5058  0
242.15547   248.34428  0
242.48607   249.30949  0
242.81667   250.82518  0
243.14726   256.556  0
243.47784   257.58847  0
243.80844   255.63933  0
244.13904   254.41156  0
244.46964   264.52356  0
244.80023   261.71576  0
245.13081   261.24332  0
245.46141   262.66992  0
245.79201   259.18466  0
246.1226    257.26917  0
246.4532    259.7258  0
246.7838    260.22687  0
247.11438   248.63873  0
247.44498   256.58173  0
247.77557   254.64572  0
248.10617   248.35028  0
248.43677   244.86714  0
248.76735   241.61725  0
249.09795   242.95808  0
249.42854   243.35124  0
249.75914   239.57286  0
250.08974   245.99454  0
250.42033   244.43166  0
250.75092   242.49503  0
251.08151   243.3002  0
251.41211   240.70441  0
251.74271   237.67256  0
252.0733    239.15271  0
252.40388   243.57962  0
252.73448   237.90622  0
253.06508   241.48228  0
253.39568   241.11417  0
