time    temperature
-19992.475138727274     -4.353859558152114
-19953.746758669186     -4.296392077267714
-19937.101907940847     -4.311424699127466
-19911.173431264786     -4.315483523935382
-19884.593777778708     -4.311136578485822
-19861.480596114667     -4.3185717301327005
-19837.396908924344     -4.32600155645807
-19820.84789910608      -4.325910749352338
-19795.637265865036     -4.336695270799428
-19770.84795855082      -4.3256363915545935
-19753.86411184091      -4.325543198428186
-19737.226874247528     -4.325451907202317
-19715.701792535583     -4.332895773011664
-19686.705053290945     -4.347860618052211
-19667.554635257766     -4.332631581736801
-19652.12386807915      -4.3457803711127365
-19627.067645193223     -4.338459004988102
-19611.16781021245      -4.342404814639548
-19588.216539251298     -4.3439593167155985
-19557.72033198376      -4.321946266495599
-19537.460285432157     -4.324355755471704
-19523.790450467564     -4.321760087722843
-19503.911801261307     -4.336054776878251
-19483.091758857616     -4.3391813813928
-19467.730144321526     -4.308849179997648
-19454.06245231344      -4.293650228290764
-19438.08220007008      -4.323810451770515
-19416.54141878485      -4.323692254003689
-19395.5844320231       -4.3084533047521365
-19371.29836175305      -4.302918630688554
-19350.504240261238     -4.308205942415376
-19334.272130206657     -4.308116874190137
-19316.83364036987      -4.308021186363022
-19293.658271822835     -4.2895292170201476
-19270.069606031815     -4.297177816106366
-19252.28954262348      -4.277419112691398
-19235.841364548203     -4.277328858865823
-19211.203102771437     -4.28475564215033
-19186.35909300136      -4.296718482920206
-19167.82111421404      -4.272418434242369
-19149.327729062625     -4.276854144491304
-19132.501431951136     -4.276761815865141
-19115.864194357753     -4.276670524639273
-19097.33227707598      -4.2811060234561475
-19082.9448417059       -4.261365935942454
-19066.513279599778     -4.246151818431272
-19049.876042006395     -4.246060527205403
-19033.55390360986      -4.245970964980024
-19016.916666016477     -4.245879673754155
-19003.745519588385     -4.245807401533675
-18991.755134139148     -4.260865563200665
-18968.42688745473      -4.2645185460358
-18948.8304263175       -4.253068050924439
-18935.895428057065     -4.242914437913904
-18914.64456018756      -4.258551950595063
-18887.402493468206     -4.2451690084461084
-18859.583377301828     -4.226651558105537
-18836.805965100255     -4.244891377074104
-18813.200292152695     -4.263126651241382
-18789.308462005465     -4.231019191183181
-18769.443086009407     -4.23393497760942
-18748.277555743418     -4.215670093073751
-18728.164668270856     -4.209510148448224
-18710.15131423875      -4.213948492705905
-18701.128057506565     -4.236584912920325
-18682.438584584197     -4.221358405885631
-18663.23212743275      -4.236376971794734
-18648.069159325456     -4.228731792695008
-18628.67165276772      -4.228625355424847
-18614.41656510248      -4.228547135442682
-18593.66815004176      -4.2329704719761105
-18575.661267174368     -4.224553490111013
-18552.814762751972     -4.201202054093982
-18529.11307971356      -4.177665878491268
-18505.02692472813      -4.192297574542174
-18484.715560582998     -4.19002555780693
-18467.85505270157      -4.189933041460714
-18441.507238644157     -4.2015515427263495
-18406.50325791537      -4.177833318192049
-18383.7043772103       -4.16678536074142
-18362.203687741072     -4.149022768961418
-18338.87753366174      -4.164018729424114
-18311.47476836605      -4.194746440504673
-18286.765810172164     -4.1798650024477615
-18267.88883177797      -4.173711839456157
-18250.764926345095     -4.166055900374715
-18233.97824170407      -4.165963789108614
-18217.260389470528     -4.150748100676987
-18193.02365409888      -4.158177087202118
-18168.15911786684      -4.1701398153399625
-18146.272510127583     -4.14783791950567
-18123.34810399963      -4.1325881747043915
-18101.639201331487     -4.134989713571576
-18085.713187639554     -4.134902324946813
-18068.670822507374     -4.1348088107203145
-18052.783031586663     -4.119597676969978
-18036.054375952088     -4.104381929258334
-18014.57389754352      -4.126949994673383
-17991.19603255413      -4.13438369395985
-17973.86557672769      -4.134288598932903
-17958.07339711457      -4.145544910822573
