year,per_capita_consumption_of_mozzarella_cheese,people_who_died_by_falling_down_the_stairs
2000,9.3,1307
2001,9.7,1462
2002,9.7,1598
2003,9.7,1588
2004,9.9,1638
2005,10.2,1690
2006,10.5,1818
2007,11,1917
2008,10.6,1935
2009,10.6,1960
