"year", "Angers", "Bordeaux", "Brest", "Dijon", "Grenoble", "LeHavre", "LeMans", "Lille", "Lyon", "Marseille", "Montpellier", "Nantes", "Nice", "Paris", "Reims", "Rennes", "Saint-Etienne", "Strasbourg", "Toulon", "Toulouse"
1962,115273,278403,136104,135694,156707,187845,132181,239955,535746,778071,118864,240048,292958,2790091,134856,151948,210311,228971,161797,323724
1968,128557,266662,154023,145357,161616,207150,143246,238554,527800,889029,161910,260244,322442,2590771,154534,180943,223223,249396,174746,370796
1975,137591,223131,166826,151705,166037,217882,152285,219204,456716,908600,191354,256693,344481,2299830,178381,198305,220181,253384,181801,373796
1982,136038,208159,156060,140942,156637,199388,147697,196705,413095,874436,197231,240539,337085,2176243,177234,194656,204955,248712,179423,347995
1990,141404,210336,147956,146703,150758,195854,145502,198691,415487,800550,207996,244995,342439,2152423,180620,197536,199396,252338,167619,358688
1999,151279,215363,149634,149867,153317,190905,146105,212597,445452,798430,225392,270251,342738,2125246,187206,206229,180210,264115,160639,390350
2007,151108,235178,142722,151543,156793,179751,144164,225789,472330,852395,253712,283025,348721,2193030,183500,207922,175318,272123,166537,439453
2012,149017,241287,139676,152071,158346,173142,143599,228652,496343,852516,268456,291604,343629,2240621,181893,209860,171483,274394,164899,453317
