t(ns)	MSD(A2)
0.245000	1.026192e+03
0.246000	1.030017e+03
0.247000	1.033840e+03
0.248000	1.037663e+03
0.249000	1.041486e+03
0.250000	1.045308e+03
0.251000	1.049130e+03
0.252000	1.052950e+03
0.253000	1.056768e+03
0.254000	1.060585e+03
0.255000	1.064402e+03
0.256000	1.068217e+03
0.257000	1.072033e+03
0.258000	1.075848e+03
0.259000	1.079662e+03
0.260000	1.083475e+03
0.261000	1.087287e+03
0.262000	1.091100e+03
0.263000	1.094911e+03
0.264000	1.098722e+03
0.265000	1.102533e+03
0.266000	1.106343e+03
0.267000	1.110152e+03
0.268000	1.113961e+03
0.269000	1.117770e+03
0.270000	1.121577e+03
0.271000	1.125383e+03
0.272000	1.129189e+03
0.273000	1.132994e+03
0.274000	1.136799e+03
0.275000	1.140604e+03
0.276000	1.144408e+03
0.277000	1.148211e+03
0.278000	1.152014e+03
0.279000	1.155817e+03
0.280000	1.159619e+03
0.281000	1.163420e+03
0.282000	1.167221e+03
0.283000	1.171019e+03
0.284000	1.174817e+03
0.285000	1.178614e+03
0.286000	1.182410e+03
0.287000	1.186205e+03
0.288000	1.190000e+03
0.289000	1.193794e+03
0.290000	1.197588e+03
0.291000	1.201381e+03
0.292000	1.205173e+03
0.293000	1.208965e+03
0.294000	1.212757e+03
0.295000	1.216548e+03
0.296000	1.220338e+03
0.297000	1.224126e+03
0.298000	1.227914e+03
0.299000	1.231703e+03
0.300000	1.235491e+03
0.301000	1.239278e+03
0.302000	1.243065e+03
0.303000	1.246852e+03
0.304000	1.250639e+03
0.305000	1.254425e+03
0.306000	1.258210e+03
0.307000	1.261994e+03
0.308000	1.265777e+03
0.309000	1.269560e+03
0.310000	1.273343e+03
0.311000	1.277126e+03
0.312000	1.280908e+03
0.313000	1.284689e+03
0.314000	1.288470e+03
0.315000	1.292251e+03
0.316000	1.296030e+03
0.317000	1.299809e+03
0.318000	1.303589e+03
0.319000	1.307368e+03
0.320000	1.311146e+03
0.321000	1.314925e+03
0.322000	1.318703e+03
0.323000	1.322481e+03
0.324000	1.326258e+03
0.325000	1.330035e+03
0.326000	1.333810e+03
0.327000	1.337585e+03
0.328000	1.341359e+03
0.329000	1.345132e+03
0.330000	1.348904e+03
0.331000	1.352677e+03
0.332000	1.356448e+03
0.333000	1.360220e+03
0.334000	1.363992e+03
0.335000	1.367763e+03
0.336000	1.371533e+03
0.337000	1.375303e+03
0.338000	1.379073e+03
0.339000	1.382843e+03
0.340000	1.386613e+03
0.341000	1.390383e+03
0.342000	1.394152e+03
0.343000	1.397921e+03
0.344000	1.401690e+03
0.345000	1.405459e+03
0.346000	1.409229e+03
0.347000	1.412998e+03
0.348000	1.416767e+03
0.349000	1.420534e+03
0.350000	1.424302e+03
0.351000	1.428070e+03
0.352000	1.431838e+03
0.353000	1.435605e+03
0.354000	1.439373e+03
0.355000	1.443140e+03
0.356000	1.446907e+03
0.357000	1.450674e+03
0.358000	1.454440e+03
0.359000	1.458205e+03
0.360000	1.461970e+03
0.361000	1.465734e+03
0.362000	1.469497e+03
0.363000	1.473260e+03
0.364000	1.477023e+03
0.365000	1.480786e+03
0.366000	1.484548e+03
0.367000	1.488310e+03
0.368000	1.492071e+03
0.369000	1.495833e+03
0.370000	1.499593e+03
0.371000	1.503355e+03
0.372000	1.507115e+03
0.373000	1.510875e+03
0.374000	1.514636e+03
0.375000	1.518396e+03
0.376000	1.522155e+03
0.377000	1.525914e+03
0.378000	1.529672e+03
0.379000	1.533430e+03
