t(ns)	MSD(A2)
0.000000	0.000000e+00
0.001000	5.516875e+00
0.002000	1.046245e+01
0.003000	1.529419e+01
0.004000	2.005048e+01
0.005000	2.474678e+01
0.006000	2.938931e+01
0.007000	3.398384e+01
0.008000	3.853408e+01
0.009000	4.304440e+01
0.010000	4.751757e+01
0.011000	5.195560e+01
0.012000	5.636049e+01
0.013000	6.073450e+01
0.014000	6.507854e+01
0.015000	6.939474e+01
0.016000	7.368418e+01
0.017000	7.794788e+01
0.018000	8.218707e+01
0.019000	8.640150e+01
0.020000	9.059320e+01
0.021000	9.476393e+01
0.022000	9.891391e+01
0.023000	1.030449e+02
0.024000	1.071574e+02
0.025000	1.112506e+02
0.026000	1.153260e+02
0.027000	1.193838e+02
0.028000	1.234239e+02
0.029000	1.274470e+02
0.030000	1.314535e+02
0.031000	1.354442e+02
0.032000	1.394201e+02
0.033000	1.433820e+02
0.034000	1.473299e+02
0.035000	1.512639e+02
0.036000	1.551839e+02
0.037000	1.590903e+02
0.038000	1.629839e+02
0.039000	1.668653e+02
0.040000	1.707339e+02
0.041000	1.745903e+02
0.042000	1.784343e+02
0.043000	1.822671e+02
0.044000	1.860886e+02
0.045000	1.898993e+02
0.046000	1.936993e+02
0.047000	1.974883e+02
0.048000	2.012661e+02
0.049000	2.050329e+02
0.050000	2.087890e+02
0.051000	2.125349e+02
0.052000	2.162717e+02
0.053000	2.199983e+02
0.054000	2.237152e+02
0.055000	2.274229e+02
0.056000	2.311213e+02
0.057000	2.348103e+02
0.058000	2.384905e+02
0.059000	2.421620e+02
0.060000	2.458254e+02
0.061000	2.494812e+02
0.062000	2.531286e+02
0.063000	2.567678e+02
0.064000	2.603989e+02
0.065000	2.640228e+02
0.066000	2.676390e+02
0.067000	2.712473e+02
0.068000	2.748481e+02
0.069000	2.784414e+02
0.070000	2.820271e+02
0.071000	2.856060e+02
0.072000	2.891781e+02
0.073000	2.927431e+02
0.074000	2.963004e+02
0.075000	2.998507e+02
0.076000	3.033947e+02
0.077000	3.069324e+02
0.078000	3.104643e+02
0.079000	3.139900e+02
0.080000	3.175101e+02
0.081000	3.210240e+02
0.082000	3.245320e+02
0.083000	3.280340e+02
0.084000	3.315303e+02
0.085000	3.350207e+02
0.086000	3.385054e+02
0.087000	3.419851e+02
0.088000	3.454589e+02
0.089000	3.489275e+02
0.090000	3.523904e+02
0.091000	3.558476e+02
0.092000	3.593000e+02
0.093000	3.627471e+02
0.094000	3.661886e+02
0.095000	3.696246e+02
0.096000	3.730558e+02
0.097000	3.764816e+02
0.098000	3.799031e+02
0.099000	3.833199e+02
0.100000	3.867322e+02
0.101000	3.901393e+02
0.102000	3.935422e+02
0.103000	3.969404e+02
0.104000	4.003344e+02
0.105000	4.037243e+02
0.106000	4.071097e+02
0.107000	4.104913e+02
0.108000	4.138691e+02
0.109000	4.172426e+02
0.110000	4.206118e+02
0.111000	4.239771e+02
0.112000	4.273377e+02
0.113000	4.306933e+02
0.114000	4.340447e+02
0.115000	4.373924e+02
0.116000	4.407371e+02
0.117000	4.440777e+02
0.118000	4.474140e+02
0.119000	4.507460e+02
0.120000	4.540745e+02
0.121000	4.573995e+02
0.122000	4.607204e+02
0.123000	4.640376e+02
0.124000	4.673510e+02
0.125000	4.706603e+02
0.126000	4.739661e+02
0.127000	4.772686e+02
0.128000	4.805668e+02
0.129000	4.838619e+02
0.130000	4.871535e+02
0.131000	4.904420e+02
0.132000	4.937278e+02
0.133000	4.970109e+02
0.134000	5.002910e+02
0.135000	5.035683e+02
0.136000	5.068424e+02
0.137000	5.101130e+02
0.138000	5.133806e+02
0.139000	5.166453e+02
0.140000	5.199074e+02
0.141000	5.231662e+02
0.142000	5.264212e+02
0.143000	5.296723e+02
0.144000	5.329202e+02
0.145000	5.361652e+02
0.146000	5.394072e+02
0.147000	5.426466e+02
0.148000	5.458833e+02
0.149000	5.491173e+02
0.150000	5.523485e+02
0.151000	5.555767e+02
0.152000	5.588028e+02
0.153000	5.620263e+02
0.154000	5.652474e+02
0.155000	5.684662e+02
0.156000	5.716820e+02
0.157000	5.748941e+02
0.158000	5.781038e+02
0.159000	5.813106e+02
0.160000	5.845153e+02
0.161000	5.877178e+02
0.162000	5.909171e+02
0.163000	5.941136e+02
0.164000	5.973072e+02
0.165000	6.004980e+02
0.166000	6.036866e+02
0.167000	6.068732e+02
0.168000	6.100569e+02
0.169000	6.132383e+02
0.170000	6.164174e+02
0.171000	6.195941e+02
0.172000	6.227686e+02
0.173000	6.259408e+02
0.174000	6.291108e+02
0.175000	6.322800e+02
0.176000	6.354469e+02
0.177000	6.386121e+02
0.178000	6.417752e+02
0.179000	6.449360e+02
0.180000	6.480949e+02
0.181000	6.512516e+02
0.182000	6.544064e+02
0.183000	6.575591e+02
0.184000	6.607093e+02
0.185000	6.638579e+02
0.186000	6.670048e+02
0.187000	6.701495e+02
0.188000	6.732929e+02
0.189000	6.764342e+02
0.190000	6.795740e+02
0.191000	6.827134e+02
0.192000	6.858508e+02
0.193000	6.889860e+02
0.194000	6.921190e+02
0.195000	6.952512e+02
0.196000	6.983822e+02
0.197000	7.015120e+02
0.198000	7.046397e+02
0.199000	7.077654e+02
0.200000	7.108888e+02
0.201000	7.140101e+02
0.202000	7.171296e+02
0.203000	7.202475e+02
0.204000	7.233632e+02
0.205000	7.264770e+02
0.206000	7.295895e+02
0.207000	7.327007e+02
0.208000	7.358105e+02
0.209000	7.389189e+02
0.210000	7.420254e+02
0.211000	7.451308e+02
0.212000	7.482344e+02
0.213000	7.513361e+02
0.214000	7.544364e+02
0.215000	7.575355e+02
0.216000	7.606328e+02
0.217000	7.637279e+02
0.218000	7.668220e+02
0.219000	7.699147e+02
0.220000	7.730058e+02
0.221000	7.760944e+02
0.222000	7.791813e+02
0.223000	7.822658e+02
0.224000	7.853484e+02
0.225000	7.884291e+02
0.226000	7.915079e+02
0.227000	7.945857e+02
0.228000	7.976624e+02
0.229000	8.007379e+02
0.230000	8.038125e+02
0.231000	8.068851e+02
0.232000	8.099571e+02
0.233000	8.130282e+02
0.234000	8.160978e+02
0.235000	8.191664e+02
0.236000	8.222335e+02
0.237000	8.252991e+02
0.238000	8.283636e+02
0.239000	8.314266e+02
0.240000	8.344888e+02
0.241000	8.375497e+02
0.242000	8.406093e+02
0.243000	8.436677e+02
0.244000	8.467245e+02
0.245000	8.497796e+02
0.246000	8.528331e+02
0.247000	8.558852e+02
0.248000	8.589355e+02
0.249000	8.619843e+02
0.250000	8.650314e+02
0.251000	8.680774e+02
0.252000	8.711221e+02
0.253000	8.741651e+02
0.254000	8.772074e+02
0.255000	8.802485e+02
0.256000	8.832888e+02
0.257000	8.863281e+02
0.258000	8.893662e+02
0.259000	8.924037e+02
0.260000	8.954397e+02
0.261000	8.984745e+02
0.262000	9.015081e+02
0.263000	9.045400e+02
0.264000	9.075714e+02
0.265000	9.106018e+02
0.266000	9.136307e+02
0.267000	9.166586e+02
0.268000	9.196854e+02
0.269000	9.227112e+02
0.270000	9.257364e+02
0.271000	9.287606e+02
0.272000	9.317830e+02
0.273000	9.348046e+02
0.274000	9.378253e+02
0.275000	9.408448e+02
0.276000	9.438639e+02
0.277000	9.468813e+02
0.278000	9.498983e+02
0.279000	9.529144e+02
0.280000	9.559300e+02
0.281000	9.589448e+02
0.282000	9.619582e+02
0.283000	9.649708e+02
0.284000	9.679821e+02
0.285000	9.709922e+02
0.286000	9.740013e+02
0.287000	9.770090e+02
0.288000	9.800161e+02
0.289000	9.830218e+02
0.290000	9.860270e+02
0.291000	9.890314e+02
0.292000	9.920338e+02
0.293000	9.950352e+02
0.294000	9.980367e+02
0.295000	1.001037e+03
0.296000	1.004037e+03
0.297000	1.007036e+03
0.298000	1.010033e+03
0.299000	1.013031e+03
0.300000	1.016027e+03
0.301000	1.019022e+03
0.302000	1.022017e+03
0.303000	1.025010e+03
0.304000	1.028003e+03
0.305000	1.030994e+03
0.306000	1.033984e+03
0.307000	1.036974e+03
0.308000	1.039962e+03
0.309000	1.042950e+03
0.310000	1.045937e+03
0.311000	1.048922e+03
0.312000	1.051907e+03
0.313000	1.054891e+03
0.314000	1.057874e+03
0.315000	1.060855e+03
0.316000	1.063836e+03
0.317000	1.066817e+03
0.318000	1.069797e+03
0.319000	1.072777e+03
0.320000	1.075756e+03
0.321000	1.078734e+03
0.322000	1.081712e+03
0.323000	1.084689e+03
0.324000	1.087666e+03
0.325000	1.090641e+03
0.326000	1.093615e+03
0.327000	1.096588e+03
0.328000	1.099561e+03
0.329000	1.102532e+03
0.330000	1.105503e+03
0.331000	1.108473e+03
0.332000	1.111443e+03
0.333000	1.114412e+03
0.334000	1.117381e+03
0.335000	1.120348e+03
0.336000	1.123314e+03
0.337000	1.126280e+03
0.338000	1.129245e+03
0.339000	1.132209e+03
0.340000	1.135172e+03
0.341000	1.138135e+03
0.342000	1.141097e+03
0.343000	1.144058e+03
0.344000	1.147017e+03
0.345000	1.149976e+03
0.346000	1.152933e+03
0.347000	1.155890e+03
0.348000	1.158847e+03
0.349000	1.161803e+03
0.350000	1.164759e+03
0.351000	1.167714e+03
0.352000	1.170668e+03
0.353000	1.173622e+03
0.354000	1.176576e+03
0.355000	1.179530e+03
0.356000	1.182484e+03
0.357000	1.185437e+03
0.358000	1.188391e+03
0.359000	1.191344e+03
0.360000	1.194296e+03
0.361000	1.197248e+03
0.362000	1.200199e+03
0.363000	1.203150e+03
0.364000	1.206099e+03
0.365000	1.209047e+03
0.366000	1.211996e+03
0.367000	1.214943e+03
0.368000	1.217890e+03
0.369000	1.220835e+03
0.370000	1.223780e+03
0.371000	1.226724e+03
0.372000	1.229668e+03
0.373000	1.232613e+03
0.374000	1.235557e+03
0.375000	1.238500e+03
0.376000	1.241443e+03
0.377000	1.244385e+03
0.378000	1.247326e+03
0.379000	1.250267e+03
0.380000	1.253206e+03
0.381000	1.256146e+03
0.382000	1.259085e+03
0.383000	1.262023e+03
0.384000	1.264960e+03
0.385000	1.267896e+03
0.386000	1.270833e+03
0.387000	1.273769e+03
0.388000	1.276706e+03
0.389000	1.279641e+03
0.390000	1.282577e+03
0.391000	1.285512e+03
0.392000	1.288447e+03
0.393000	1.291381e+03
0.394000	1.294315e+03
0.395000	1.297248e+03
0.396000	1.300180e+03
0.397000	1.303112e+03
0.398000	1.306043e+03
0.399000	1.308974e+03
0.400000	1.311905e+03
0.401000	1.314836e+03
0.402000	1.317766e+03
0.403000	1.320696e+03
0.404000	1.323626e+03
0.405000	1.326555e+03
0.406000	1.329484e+03
0.407000	1.332412e+03
0.408000	1.335340e+03
0.409000	1.338268e+03
0.410000	1.341196e+03
0.411000	1.344123e+03
0.412000	1.347051e+03
0.413000	1.349978e+03
0.414000	1.352905e+03
0.415000	1.355831e+03
0.416000	1.358758e+03
0.417000	1.361684e+03
0.418000	1.364610e+03
0.419000	1.367535e+03
0.420000	1.370460e+03
0.421000	1.373384e+03
0.422000	1.376308e+03
0.423000	1.379232e+03
0.424000	1.382156e+03
0.425000	1.385079e+03
0.426000	1.388002e+03
0.427000	1.390924e+03
0.428000	1.393846e+03
0.429000	1.396766e+03
0.430000	1.399687e+03
0.431000	1.402608e+03
0.432000	1.405528e+03
0.433000	1.408449e+03
0.434000	1.411369e+03
0.435000	1.414289e+03
0.436000	1.417208e+03
0.437000	1.420127e+03
0.438000	1.423045e+03
0.439000	1.425963e+03
0.440000	1.428881e+03
0.441000	1.431799e+03
0.442000	1.434716e+03
0.443000	1.437632e+03
0.444000	1.440548e+03
0.445000	1.443463e+03
0.446000	1.446378e+03
0.447000	1.449292e+03
0.448000	1.452204e+03
0.449000	1.455117e+03
0.450000	1.458030e+03
0.451000	1.460942e+03
0.452000	1.463854e+03
0.453000	1.466764e+03
0.454000	1.469674e+03
0.455000	1.472583e+03
