 ,Area,X,Y
1,0.016,0.152,0.689
2,0.014,0.562,0.468
3,0.024,0.450,0.739
4,0.014,1.016,0.081
5,0.020,1.216,0.655
6,0.009,1.022,0.701
7,0.015,1.117,0.964
8,0.015,0.105,1.525
9,0.014,0.362,1.568
10,0.012,0.188,2.617
11,0.027,1.867,0.180
12,0.013,1.609,0.456
13,0.012,1.628,0.959
14,0.015,1.449,1.205
15,0.015,1.647,1.293
16,0.017,1.385,1.714
17,0.016,1.278,1.996
18,0.020,1.099,2.376
19,0.020,3.023,1.045
20,0.017,3.733,2.812
21,0.021,4.531,1.712
22,0.024,4.452,1.997
23,0.017,0.564,2.858
24,0.016,0.741,2.707
25,0.019,0.450,2.168
26,0.016,1.640,2.298
27,0.012,2.725,0.203
28,0.015,2.361,1.193
29,0.014,3.465,2.621
30,0.018,3.970,2.751
31,0.025,4.164,3.026
32,0.014,2.293,1.419
33,0.018,3.337,1.052
34,0.016,3.802,0.531
35,0.013,3.887,1.587
36,0.016,4.098,1.781
37,0.013,1.266,3.070
38,0.014,1.111,2.669
39,0.013,4.091,0.375
40,0.012,3.794,0.971
41,0.020,2.733,2.818
42,0.017,3.259,2.735
43,0.019,4.657,0.604
44,0.013,2.481,2.093
45,0.012,2.573,2.316
46,0.021,0.617,1.926
47,0.027,0.866,2.075
48,0.023,3.580,1.187
49,0.016,3.734,1.372
50,0.011,4.506,1.489
51,0.015,3.905,2.056
52,0.016,3.328,0.325
53,0.012,1.882,1.430
54,0.012,1.849,2.657
55,0.010,1.602,0.154
56,0.014,6.472,2.034
57,0.016,5.796,2.083
58,0.017,5.305,2.158
59,0.012,5.488,2.345
60,0.013,5.462,2.644
61,0.013,5.339,2.814
62,0.011,5.239,2.986
63,0.014,4.441,2.918
64,0.016,4.668,3.135
65,0.028,7.558,4.082
66,0.013,6.279,4.900
67,0.020,6.020,4.765
68,0.012,6.524,4.512
69,0.014,5.780,4.434
70,0.014,5.393,3.899
71,0.013,5.902,3.901
72,0.017,5.147,3.878
73,0.019,4.284,3.720
74,0.017,4.904,3.403
75,0.013,4.666,2.469
76,0.019,5.836,2.910
77,0.010,5.246,2.544
78,0.010,5.018,2.440
79,0.011,3.939,3.259
80,0.014,4.249,3.502
81,0.021,6.322,0.971
82,0.013,6.729,0.217
83,0.016,7.331,1.090
84,0.013,7.571,1.040
85,0.016,4.773,1.717
86,0.016,4.852,1.530
87,0.012,4.165,1.132
88,0.020,5.785,2.343
89,0.023,7.417,2.847
90,0.010,7.224,2.921
91,0.013,7.159,3.062
92,0.014,0.116,4.762
93,0.014,0.657,4.464
94,0.016,0.723,4.250
95,0.013,2.809,3.364
96,0.015,3.094,3.342
97,0.014,1.308,2.253
98,0.021,2.726,4.702
99,0.012,2.015,4.513
100,0.014,1.682,3.502
101,0.014,4.181,3.951
102,0.013,3.481,3.624
