 ,Area,X,Y
1,0.012,0.114,0.272
2,0.014,0.294,0.586
3,0.017,0.549,1.058
4,0.011,1.187,1.168
5,0.010,1.866,0.555
6,0.007,1.565,0.726
7,0.013,1.799,0.984
8,0.013,1.247,1.513
9,0.010,2.456,0.982
10,0.013,3.022,2.343
11,0.011,2.771,1.941
12,0.011,2.113,2.054
13,0.016,1.413,2.077
14,0.009,1.164,2.139
15,0.014,0.409,1.830
16,0.013,1.027,0.540
17,0.014,2.075,0.206
18,0.011,2.414,0.319
19,0.013,2.718,0.084
20,0.016,2.008,0.705
21,0.013,3.073,0.704
22,0.012,2.776,1.354
23,0.012,0.561,2.192
24,0.013,0.131,2.054
25,0.010,1.433,1.667
26,0.012,1.271,0.884
27,0.014,0.661,1.545
28,0.014,0.380,1.308
29,0.014,3.289,1.906
30,0.013,1.583,0.187
31,0.010,4.758,4.149
32,0.012,6.997,4.558
33,0.013,5.746,4.299
34,0.012,5.847,3.416
35,0.014,6.593,2.899
36,0.014,6.708,2.583
37,0.013,5.315,2.854
38,0.012,4.952,3.276
39,0.014,5.169,3.845
40,0.013,6.510,4.498
41,0.012,6.380,3.154
42,0.010,6.175,4.251
43,0.011,5.254,2.469
44,0.016,4.968,2.776
45,0.012,4.713,3.070
46,0.014,6.530,3.748
47,0.013,7.380,3.858
48,0.015,7.395,4.033
49,0.012,4.843,3.432
50,0.012,5.586,2.693
51,0.012,5.177,3.015
52,0.012,6.068,3.709
53,0.013,7.512,2.461
54,0.011,5.382,4.370
55,0.017,2.884,2.848
56,0.018,1.620,2.990
57,0.012,1.023,2.705
58,0.013,0.776,2.902
59,0.013,3.664,4.409
60,0.016,3.072,4.545
61,0.014,2.671,4.306
62,0.013,3.225,3.023
63,0.013,2.614,3.583
64,0.011,0.723,4.005
65,0.013,1.281,3.187
66,0.012,2.100,2.834
67,0.012,2.349,3.127
68,0.012,0.965,4.222
69,0.012,2.023,3.336
70,0.012,1.191,4.079
71,0.012,0.595,4.237
72,0.021,5.483,0.892
73,0.021,4.266,1.404
74,0.003,4.669,1.418
75,0.009,4.705,1.276
76,0.014,4.933,1.565
77,0.013,6.242,1.864
78,0.016,6.847,0.550
79,0.011,5.838,1.084
80,0.012,7.202,1.561
81,0.014,4.582,1.604
82,0.015,5.091,1.161
83,0.010,5.363,2.006
84,0.010,5.464,1.817
85,0.015,4.994,1.951
86,0.016,5.729,1.494
87,0.013,6.160,0.337
88,0.015,5.501,0.273
89,0.008,5.702,0.447
90,0.011,5.765,0.712
91,0.014,2.243,2.484
92,0.015,4.371,2.174
93,0.011,4.382,1.089
94,0.011,3.726,1.483
95,0.007,3.256,2.150
96,0.010,3.020,2.109
97,0.012,1.762,1.578
98,0.009,2.044,1.359
99,0.010,1.986,2.252
100,0.013,2.443,2.640
101,0.011,3.362,2.410
